AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251008_LGI2 KD_Plate 2_D32N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,441.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,24968.000000,22748.000000,32344.000000,0.000000,2.000000,1.000000,19158.000000,23677.000000,48666.000000,4.000000,2.000000,0.000000,19769.000000,44613.000000,48528.000000,32.000000,3002.000000,0.000000,24525.000000,34348.000000,33665.000000,1.000000,11.000000,24.000000
    Mean Firing Rate (Hz),3.538549,3.223923,4.583900,0.000000,0.000283,0.000142,2.715136,3.355584,6.897109,0.000567,0.000283,0.000000,2.801729,6.322704,6.877551,0.004535,0.425454,0.000000,3.475765,4.867914,4.771117,0.000142,0.001559,0.003401
    ISI Coefficient of Variation - Avg,6.648750,5.449632,6.302601, , , ,6.240345,5.616523,6.900276, , , ,6.770289,7.952686,7.868431, ,1.503393, ,6.795458,6.439827,5.988357, , , 
    Number of Active Electrodes,15.000000,16.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,15.000000,0.000000,1.000000,0.000000,15.000000,15.000000,16.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),3.771580,3.223923,4.884203, , , ,2.893424,3.578987,6.897109, , , ,2.801729,6.743613,7.330915, ,6.807256, ,3.705518,5.191081,4.771117, , , 
Electrode Burst Metrics
    Number of Bursts,309.000000,467.000000,531.000000,0.000000,0.000000,0.000000,242.000000,470.000000,538.000000,0.000000,0.000000,0.000000,276.000000,475.000000,555.000000,0.000000,196.000000,0.000000,300.000000,466.000000,580.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,15.000000,16.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,16.000000,15.000000,15.000000,0.000000,1.000000,0.000000,15.000000,15.000000,16.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.828216,0.584760,0.698362, , , ,0.807153,0.553586,0.808952, , , ,0.752082,0.928634,0.811826, ,0.310843, ,0.818970,0.792821,0.692273, , , 
    Burst Duration - Std (sec),0.361662,0.298414,0.303298, , , ,0.381690,0.301711,0.334422, , , ,0.377893,0.248150,0.341770, , , ,0.197999,0.369051,0.262988, , , 
    Number of Spikes per Burst - Avg,70.476772,42.006442,56.824492, , , ,70.625292,42.195655,89.018383, , , ,61.983048,91.512594,84.467996, ,7.193878, ,71.681362,67.705417,50.019912, , , 
    Number of Spikes per Burst - Std,40.363185,30.465742,37.230308, , , ,51.611588,35.073703,63.439139, , , ,38.536794,41.536130,54.491866, , , ,31.965252,49.451400,27.313614, , , 
    Mean ISI within Burst - Avg (sec),0.019260,0.020601,0.019320, , , ,0.018589,0.020004,0.014931, , , ,0.018961,0.018185,0.015083, ,0.050222, ,0.018259,0.020425,0.021111, , , 
    Mean ISI within Burst - Std (sec),0.005801,0.005915,0.004605, , , ,0.005367,0.004387,0.004964, , , ,0.005628,0.006295,0.003335, , , ,0.004630,0.006488,0.006415, , , 
    Median ISI within Burst - Avg (sec),0.014322,0.014989,0.014041, , , ,0.013552,0.014269,0.010101, , , ,0.013823,0.013668,0.010190, ,0.046529, ,0.013418,0.015048,0.016455, , , 
    Median ISI within Burst - Std (sec),0.006787,0.005768,0.004355, , , ,0.005198,0.004066,0.004161, , , ,0.005120,0.005681,0.002704, , , ,0.004894,0.006883,0.006617, , , 
    Median/Mean ISI within Burst - Avg,0.612028,0.654750,0.630124, , , ,0.627345,0.644858,0.585800, , , ,0.620902,0.636886,0.594755, ,0.912553, ,0.624468,0.641048,0.688721, , , 
    Median/Mean ISI within Burst - Std,0.072831,0.057296,0.045051, , , ,0.052406,0.071523,0.038746, , , ,0.048453,0.053141,0.029526, , , ,0.045081,0.067467,0.108372, , , 
    Inter-Burst Interval - Avg (sec),18.221170,25.252732,10.113972, , , ,20.833659,10.655800,9.991145, , , ,24.104546,11.208410,9.780867, ,1.419678, ,17.913006,11.455221,13.791789, , , 
    Inter-Burst Interval - Std (sec),2.957412,55.388881,0.936448, , , ,2.808832,1.398760,1.063403, , , ,13.750138,1.182501,0.752987, ,0.000000, ,2.666719,1.637933,17.424994, , , 
    Burst Frequency - Avg (Hz),0.046712,0.066185,0.080272, , , ,0.036584,0.071051,0.081330, , , ,0.039116,0.071807,0.083900, ,0.444444, ,0.045351,0.070446,0.082200, , , 
    Burst Frequency - Std (Hz),0.009183,0.018994,0.007608, , , ,0.004913,0.021127,0.008693, , , ,0.008545,0.007745,0.006583, , , ,0.007666,0.010958,0.024373, , , 
    IBI Coefficient of Variation - Avg,0.489251,0.492268,0.481243, , , ,0.467375,0.441404,0.407046, , , ,0.548424,0.523927,0.409095, ,0.929609, ,0.496517,0.478033,0.519778, , , 
