AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250925_LGI2 KD_Plate 2_D19N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,442.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,2708.000000,1980.000000,1374.000000,0.000000,0.000000,0.000000,1507.000000,2013.000000,1657.000000,0.000000,0.000000,0.000000,2545.000000,4645.000000,1741.000000,327.000000,1226.000000,0.000000,1939.000000,2867.000000,2272.000000,2.000000,4.000000,123.000000
    Mean Firing Rate (Hz),0.382919,0.279977,0.194287,0.000000,0.000000,0.000000,0.213094,0.284644,0.234304,0.000000,0.000000,0.000000,0.359870,0.656816,0.246182,0.046239,0.173360,0.000000,0.274180,0.405402,0.321267,0.000283,0.000566,0.017393
    ISI Coefficient of Variation - Avg,1.938549,1.411659,1.654407, , , ,1.598157,1.486551,1.286850, , , ,1.810833,1.744012,1.550026,0.976379,1.381392, ,1.545044,1.269048,1.905044, , ,0.483097
    Number of Active Electrodes,9.000000,11.000000,8.000000,0.000000,0.000000,0.000000,6.000000,7.000000,7.000000,0.000000,0.000000,0.000000,8.000000,11.000000,9.000000,1.000000,1.000000,0.000000,10.000000,10.000000,11.000000,0.000000,0.000000,1.000000
    Weighted Mean Firing Rate (Hz),0.661639,0.404566,0.363971, , , ,0.518477,0.627990,0.493536, , , ,0.710690,0.950226,0.415033,0.739819,2.771493, ,0.425339,0.643665,0.460099, , ,0.158371
Electrode Burst Metrics
    Number of Bursts,36.000000,4.000000,14.000000,0.000000,0.000000,0.000000,19.000000,12.000000,6.000000,0.000000,0.000000,0.000000,81.000000,131.000000,7.000000,0.000000,25.000000,0.000000,11.000000,24.000000,41.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,4.000000,1.000000,2.000000,0.000000,0.000000,0.000000,2.000000,2.000000,2.000000,0.000000,0.000000,0.000000,4.000000,5.000000,4.000000,0.000000,1.000000,0.000000,3.000000,4.000000,3.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.327020,0.185600,0.220575, , , ,0.267576,0.193218,0.304940, , , ,0.334765,0.315319,0.216887, ,0.233722, ,0.297440,0.268934,0.467028, , , 
