AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250922_LGI2 KD_Plate 2_D16N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,928.000000,1195.000000,1778.000000,0.000000,0.000000,0.000000,1106.000000,983.000000,856.000000,0.000000,0.000000,2.000000,1162.000000,1848.000000,2664.000000,15.000000,117.000000,0.000000,271.000000,1348.000000,532.000000,1.000000,24.000000,143.000000
    Mean Firing Rate (Hz),0.130926,0.168595,0.250847,0.000000,0.000000,0.000000,0.156038,0.138685,0.120767,0.000000,0.000000,0.000282,0.163939,0.260722,0.375847,0.002116,0.016507,0.000000,0.038234,0.190181,0.075056,0.000141,0.003386,0.020175
    ISI Coefficient of Variation - Avg,1.353841,1.000588,1.095825, , , ,1.313365,2.005042,1.325796, , , ,1.598689,1.349247,1.474181, ,1.205080, ,1.197007,1.017451,1.098652, , ,0.703428
    Number of Active Electrodes,7.000000,7.000000,6.000000,0.000000,0.000000,0.000000,5.000000,4.000000,6.000000,0.000000,0.000000,0.000000,4.000000,8.000000,9.000000,0.000000,1.000000,0.000000,1.000000,7.000000,4.000000,0.000000,0.000000,2.000000
    Weighted Mean Firing Rate (Hz),0.289906,0.358916,0.651994, , , ,0.475847,0.528781,0.305117, , , ,0.624718,0.499718,0.655882, ,0.261851, ,0.435666,0.428571,0.275959, , ,0.128668
Electrode Burst Metrics
    Number of Bursts,0.000000,1.000000,13.000000,0.000000,0.000000,0.000000,0.000000,23.000000,6.000000,0.000000,0.000000,0.000000,8.000000,4.000000,19.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,3.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec), ,0.211520,0.456750, , , , ,0.343878,0.371747, , , ,0.325780,0.328880,0.291991, , , , , ,0.409160, , , 
