AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250918_LGI2 KD_Plate 2_D12N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,442.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,176.000000,82.000000,212.000000,1.000000,1.000000,0.000000,109.000000,118.000000,112.000000,0.000000,30.000000,1.000000,171.000000,551.000000,52.000000,1.000000,34.000000,1.000000,122.000000,117.000000,95.000000,0.000000,1.000000,29.000000
    Mean Firing Rate (Hz),0.024887,0.011595,0.029977,0.000141,0.000141,0.000000,0.015413,0.016686,0.015837,0.000000,0.004242,0.000141,0.024180,0.077913,0.007353,0.000141,0.004808,0.000141,0.017251,0.016544,0.013433,0.000000,0.000141,0.004101
    ISI Coefficient of Variation - Avg,1.146006, ,0.864596, , , ,1.355111,1.640157,1.951738, , , ,1.020606,1.180257, , , , ,1.263475,1.162101, , , , 
    Number of Active Electrodes,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,5.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.285068, ,0.400452, , , ,0.099548,0.156109,0.088235, , , ,0.205882,0.237557, , , , ,0.108597,0.095023, , , , 
Electrode Burst Metrics
    Number of Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Burst Duration - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Number of Spikes per Burst - Avg, , , , , , , , , , , , , , , , , , , , , , , , 
    Number of Spikes per Burst - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Mean ISI within Burst - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Mean ISI within Burst - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median ISI within Burst - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median ISI within Burst - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median/Mean ISI within Burst - Avg, , , , , , , , , , , , , , , , , , , , , , , , 
    Median/Mean ISI within Burst - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Inter-Burst Interval - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Inter-Burst Interval - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Burst Frequency - Avg (Hz), , , , , , , , , , , , , , , , , , , , , , , , 
    Burst Frequency - Std (Hz), , , , , , , , , , , , , , , , , , , , , , , , 
    IBI Coefficient of Variation - Avg, , , , , , , , , , , , , , , , , , , , , , , , 
    IBI Coefficient of Variation - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Burst Percentage - Avg,0.000000,0.000000,0.000000,0.000000,0.000000, ,0.000000,0.000000,0.000000, ,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, ,0.000000,0.000000
    Burst Percentage - Std,0.000000,0.000000,0.000000, , , ,0.000000,0.000000,0.000000, , , ,0.000000,0.000000,0.000000, , , ,0.000000,0.000000,0.000000, , ,0.000000
Network Burst Metrics
    Number of Network Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, , , , , , , , , , , , , , , , , , , , , , , , 
    Network Burst Duration - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Network Burst Duration - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg, , , , , , , , , , , , , , , , , , , , , , , , 
    Number of Spikes per Network Burst - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Mean ISI within Network Burst - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median ISI within Network Burst - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg, , , , , , , , , , , , , , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Std, , , , , , , , , , , , , , , , , , , , , , , , 
