AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250928_LGI2 KD_Plate 2_D22N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,3166.000000,2887.000000,3155.000000,1.000000,0.000000,0.000000,1592.000000,1659.000000,2611.000000,0.000000,0.000000,0.000000,4332.000000,5074.000000,2403.000000,336.000000,82.000000,1.000000,2523.000000,4194.000000,3734.000000,0.000000,0.000000,33.000000
    Mean Firing Rate (Hz),0.446670,0.407308,0.445119,0.000141,0.000000,0.000000,0.224605,0.234058,0.368369,0.000000,0.000000,0.000000,0.611174,0.715858,0.339024,0.047404,0.011569,0.000141,0.355954,0.591704,0.526806,0.000000,0.000000,0.004656
    ISI Coefficient of Variation - Avg,1.764698,1.652514,1.901219, , , ,1.638935,1.663538,1.578243, , , ,2.159138,2.393297,1.644513,1.233202,1.000271, ,1.361730,1.802244,2.009624, , , 
    Number of Active Electrodes,13.000000,11.000000,11.000000,0.000000,0.000000,0.000000,8.000000,9.000000,11.000000,0.000000,0.000000,0.000000,10.000000,13.000000,11.000000,1.000000,1.000000,0.000000,12.000000,10.000000,13.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.548359,0.577057,0.639442, , , ,0.431716,0.409581,0.529653, , , ,0.968172,0.878277,0.487174,0.758465,0.185102, ,0.473100,0.938826,0.646814, , , 
Electrode Burst Metrics
    Number of Bursts,31.000000,73.000000,33.000000,0.000000,0.000000,0.000000,15.000000,7.000000,26.000000,0.000000,0.000000,0.000000,109.000000,181.000000,31.000000,0.000000,0.000000,0.000000,14.000000,85.000000,84.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,7.000000,6.000000,6.000000,0.000000,0.000000,0.000000,4.000000,2.000000,5.000000,0.000000,0.000000,0.000000,7.000000,10.000000,8.000000,0.000000,0.000000,0.000000,2.000000,7.000000,8.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.276685,0.290135,0.344206, , , ,0.405228,0.210393,0.228887, , , ,0.357990,0.374885,0.284246, , , ,0.248943,0.302321,0.406969, , , 
