AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251002_LGI2 KD_Plate 2_D26N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,442.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,7628.000000,9355.000000,15215.000000,0.000000,1.000000,1.000000,8299.000000,7776.000000,22296.000000,0.000000,1.000000,0.000000,9427.000000,22605.000000,22555.000000,0.000000,22.000000,0.000000,8510.000000,14956.000000,16304.000000,4.000000,0.000000,63.000000
    Mean Firing Rate (Hz),1.078620,1.322822,2.151442,0.000000,0.000141,0.000141,1.173501,1.099548,3.152715,0.000000,0.000141,0.000000,1.333003,3.196408,3.189338,0.000000,0.003111,0.000000,1.203337,2.114819,2.305430,0.000566,0.000000,0.008908
    ISI Coefficient of Variation - Avg,3.476343,3.278899,3.881782, , , ,3.650513,3.238130,4.630203, , , ,4.184272,5.248687,5.071305, , , ,3.667945,3.451119,3.986988, , ,0.649758
    Number of Active Electrodes,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,14.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,1.000000
    Weighted Mean Firing Rate (Hz),1.150528,1.410860,2.294872, , , ,1.251735,1.256141,3.362896, , , ,1.421569,3.409351,3.401810, , , ,1.283560,2.255807,2.458220, , ,0.099548
Electrode Burst Metrics
    Number of Bursts,228.000000,417.000000,528.000000,0.000000,0.000000,0.000000,200.000000,348.000000,535.000000,0.000000,0.000000,0.000000,291.000000,464.000000,560.000000,0.000000,0.000000,0.000000,220.000000,424.000000,543.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,14.000000,14.000000,14.000000,0.000000,0.000000,0.000000,15.000000,13.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,14.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.369132,0.363940,0.438659, , , ,0.433425,0.287380,0.488033, , , ,0.504114,0.596246,0.548828, , , ,0.483729,0.367550,0.552542, , , 
    Burst Duration - Std (sec),0.185354,0.173991,0.294119, , , ,0.270095,0.217494,0.283694, , , ,0.203987,0.294617,0.266859, , , ,0.236960,0.278915,0.522310, , , 
    Number of Spikes per Burst - Avg,17.297570,13.645854,20.356017, , , ,22.456537,14.785078,34.598769, , , ,21.696176,37.978117,35.073053, , , ,23.210171,21.161471,23.480216, , , 
    Number of Spikes per Burst - Std,13.892330,6.354582,18.224705, , , ,22.195879,14.482932,30.416331, , , ,9.114656,22.682378,23.416776, , , ,14.068782,22.636682,27.703045, , , 
    Mean ISI within Burst - Avg (sec),0.031174,0.032095,0.031607, , , ,0.028774,0.025342,0.020713, , , ,0.032188,0.022967,0.023906, , , ,0.027658,0.027174,0.031647, , , 
    Mean ISI within Burst - Std (sec),0.008774,0.006342,0.006732, , , ,0.006402,0.006332,0.004808, , , ,0.011223,0.004807,0.006301, , , ,0.006717,0.005451,0.011993, , , 
    Median ISI within Burst - Avg (sec),0.027252,0.027645,0.027615, , , ,0.023918,0.020862,0.015488, , , ,0.028196,0.018099,0.018948, , , ,0.021927,0.023375,0.027093, , , 
    Median ISI within Burst - Std (sec),0.009455,0.007662,0.007540, , , ,0.006955,0.006838,0.004848, , , ,0.013206,0.005697,0.006940, , , ,0.007141,0.006493,0.013701, , , 
    Median/Mean ISI within Burst - Avg,0.824051,0.829362,0.818888, , , ,0.781656,0.784382,0.697698, , , ,0.815113,0.706770,0.717147, , , ,0.745062,0.804522,0.796379, , , 
    Median/Mean ISI within Burst - Std,0.072998,0.077355,0.080643, , , ,0.084548,0.090971,0.093319, , , ,0.109209,0.090601,0.078728, , , ,0.088625,0.082591,0.120492, , , 
    Inter-Burst Interval - Avg (sec),19.997898,16.630220,11.533544, , , ,35.157662,15.183062,10.042163, , , ,22.334451,15.685640,8.970164, , , ,27.445289,13.298677,12.072165, , , 
    Inter-Burst Interval - Std (sec),4.514682,11.405402,6.285001, , , ,25.472443,7.463334,1.257458, , , ,8.598193,13.951245,1.546727, , , ,16.844237,5.376527,7.908896, , , 
    Burst Frequency - Avg (Hz),0.036846,0.067388,0.085326, , , ,0.030166,0.060564,0.080694, , , ,0.043891,0.069985,0.090498, , , ,0.033183,0.063952,0.081900, , , 
    Burst Frequency - Std (Hz),0.014210,0.037588,0.036518, , , ,0.015667,0.020903,0.009624, , , ,0.040857,0.026014,0.017046, , , ,0.012987,0.029911,0.033374, , , 
    IBI Coefficient of Variation - Avg,0.631984,0.667465,0.587037, , , ,0.630663,0.471944,0.390550, , , ,0.666137,0.530577,0.528803, , , ,0.564675,0.539019,0.580962, , , 
    IBI Coefficient of Variation - Std,0.221324,0.136328,0.177911, , , ,0.173574,0.218000,0.135695, , , ,0.306892,0.177369,0.132250, , , ,0.258985,0.170130,0.259903, , , 
    Burst Percentage - Avg,51.663010,54.250819,61.745916, ,0.000000,0.000000,55.684653,54.427492,78.625493, ,0.000000, ,59.724084,73.152076,73.155913, ,0.000000, ,60.961539,62.695748,61.727420,0.000000, ,0.000000
    Burst Percentage - Std,24.540998,30.222633,28.740290, , , ,25.443222,28.006338,13.739088, , , ,27.546395,32.415275,30.338907, ,0.000000, ,19.923458,23.097156,28.621641,0.000000, ,0.000000
Network Burst Metrics
    Number of Network Bursts,12.000000,25.000000,32.000000,0.000000,0.000000,0.000000,13.000000,25.000000,31.000000,0.000000,0.000000,0.000000,11.000000,27.000000,30.000000,0.000000,0.000000,0.000000,12.000000,25.000000,33.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.027149,0.056561,0.072398, , , ,0.029412,0.056561,0.070136, , , ,0.024887,0.061086,0.067873, , , ,0.027149,0.056561,0.074661, , , 
    Network Burst Duration - Avg (sec),2.803220,2.032838,2.136548, , , ,2.308800,1.622979,2.009388, , , ,3.281898,2.078776,1.943467, , , ,2.582500,2.058739,3.136938, , , 
    Network Burst Duration - Std (sec),0.377598,0.378350,0.244322, , , ,0.530860,0.225870,0.353466, , , ,0.600464,0.245239,0.255288, , , ,0.317898,0.309966,1.200753, , , 
