AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250921_LGI2 KD_Plate 2_D15N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,442.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,578.000000,630.000000,947.000000,0.000000,0.000000,0.000000,575.000000,991.000000,473.000000,0.000000,0.000000,0.000000,669.000000,1711.000000,991.000000,2.000000,520.000000,0.000000,182.000000,942.000000,516.000000,0.000000,53.000000,17.000000
    Mean Firing Rate (Hz),0.081731,0.089084,0.133908,0.000000,0.000000,0.000000,0.081307,0.140130,0.066883,0.000000,0.000000,0.000000,0.094598,0.241940,0.140130,0.000283,0.073529,0.000000,0.025735,0.133201,0.072964,0.000000,0.007494,0.002404
    ISI Coefficient of Variation - Avg,1.134793,1.292183,1.074561, , , ,1.152477,1.973721,1.366114, , , ,1.701964,1.312818,1.212856, ,1.730979, ,1.452666,1.032047,1.251722, ,0.977069, 
    Number of Active Electrodes,5.000000,5.000000,5.000000,0.000000,0.000000,0.000000,5.000000,3.000000,3.000000,0.000000,0.000000,0.000000,3.000000,8.000000,8.000000,0.000000,1.000000,0.000000,2.000000,6.000000,4.000000,0.000000,1.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.236652,0.266063,0.399548, , , ,0.253846,0.678733,0.312971, , , ,0.432127,0.460690,0.259050, ,1.176471, ,0.162896,0.335973,0.251131, ,0.119910, 
Electrode Burst Metrics
    Number of Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,2.000000,0.000000,0.000000,1.000000,5.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec), , , , , , , ,0.253840, , , , ,0.266000,0.157680,0.257120, ,0.221000, , ,1.058640,0.267552, , , 
