AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251001_LGI2 KD_Plate 2_D25N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,6431.000000,7112.000000,11252.000000,1.000000,0.000000,0.000000,7264.000000,5513.000000,14754.000000,0.000000,4.000000,1.000000,8381.000000,19041.000000,14481.000000,94.000000,156.000000,1.000000,7739.000000,14059.000000,11069.000000,1.000000,1.000000,3.000000
    Mean Firing Rate (Hz),0.907308,1.003386,1.587472,0.000141,0.000000,0.000000,1.024831,0.777793,2.081546,0.000000,0.000564,0.000141,1.182421,2.686371,2.043030,0.013262,0.022009,0.000141,1.091845,1.983493,1.561653,0.000141,0.000141,0.000423
    ISI Coefficient of Variation - Avg,3.270371,2.869107,3.354479, , , ,3.241132,2.695495,3.721504, , , ,3.587044,4.234813,4.473034,0.958889,1.234119, ,3.084151,3.240526,3.401761, , , 
    Number of Active Electrodes,14.000000,14.000000,15.000000,0.000000,0.000000,0.000000,14.000000,13.000000,15.000000,0.000000,0.000000,0.000000,14.000000,15.000000,14.000000,1.000000,1.000000,0.000000,15.000000,14.000000,15.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),1.032731,1.144147,1.693303, , , ,1.166559,0.955027,2.220316, , , ,1.350532,2.865463,2.331828,0.212190,0.349887, ,1.164635,2.263141,1.665764, , , 
Electrode Burst Metrics
    Number of Bursts,223.000000,329.000000,484.000000,0.000000,0.000000,0.000000,171.000000,209.000000,434.000000,0.000000,0.000000,0.000000,470.000000,464.000000,410.000000,0.000000,0.000000,0.000000,252.000000,360.000000,438.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,14.000000,14.000000,14.000000,0.000000,0.000000,0.000000,13.000000,12.000000,15.000000,0.000000,0.000000,0.000000,14.000000,15.000000,14.000000,0.000000,0.000000,0.000000,13.000000,14.000000,14.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.366768,0.301912,0.376572, , , ,0.448998,0.288376,0.404030, , , ,0.379773,0.532770,0.460163, , , ,0.405280,0.437558,0.411613, , , 
