AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250924_LGI2 KD_Plate 2_D18N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,1883.000000,1487.000000,1570.000000,0.000000,0.000000,0.000000,1817.000000,1366.000000,1795.000000,0.000000,0.000000,1.000000,1920.000000,4415.000000,1828.000000,292.000000,725.000000,0.000000,1305.000000,2524.000000,2299.000000,4.000000,1.000000,34.000000
    Mean Firing Rate (Hz),0.265660,0.209791,0.221501,0.000000,0.000000,0.000000,0.256349,0.192720,0.253245,0.000000,0.000000,0.000141,0.270880,0.622884,0.257901,0.041196,0.102286,0.000000,0.184114,0.356095,0.324351,0.000564,0.000141,0.004797
    ISI Coefficient of Variation - Avg,1.835998,1.205333,1.649249, , , ,1.482553,1.311107,1.390328, , , ,1.850780,1.673251,1.312881,1.076241,1.156055, ,1.325177,1.182708,2.044026, , , 
    Number of Active Electrodes,9.000000,9.000000,8.000000,0.000000,0.000000,0.000000,6.000000,6.000000,8.000000,0.000000,0.000000,0.000000,6.000000,11.000000,10.000000,1.000000,1.000000,0.000000,6.000000,8.000000,10.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.462503,0.355907,0.416761, , , ,0.647103,0.503386,0.493792, , , ,0.703536,0.897804,0.393679,0.659142,1.636569, ,0.447705,0.698928,0.508578, , , 
Electrode Burst Metrics
    Number of Bursts,11.000000,1.000000,2.000000,0.000000,0.000000,0.000000,7.000000,20.000000,4.000000,0.000000,0.000000,0.000000,40.000000,76.000000,5.000000,0.000000,5.000000,0.000000,6.000000,20.000000,30.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.000000,1.000000,2.000000,0.000000,0.000000,0.000000,2.000000,7.000000,2.000000,0.000000,1.000000,0.000000,2.000000,4.000000,4.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.320409,0.173200,0.347840, , , ,0.208020,0.298516,0.246507, , , ,0.294471,0.277475,0.247373, ,0.302128, ,0.210080,0.279960,0.394818, , , 
