AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251020_LGI2 KD_Plate 2_D44N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,439.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,68795.000000,60000.000000,135510.000000,0.000000,0.000000,0.000000,76160.000000,64178.000000,120130.000000,0.000000,0.000000,0.000000,54144.000000,61248.000000,129194.000000,254.000000,197.000000,2.000000,71361.000000,78774.000000,132326.000000,0.000000,0.000000,27.000000
    Mean Firing Rate (Hz),9.794277,8.542141,19.292426,0.000000,0.000000,0.000000,10.842825,9.136959,17.102790,0.000000,0.000000,0.000000,7.708428,8.719818,18.393223,0.036162,0.028047,0.000285,10.159596,11.214977,18.839123,0.000000,0.000000,0.003844
    ISI Coefficient of Variation - Avg,9.171525,8.178905,9.723834, , , ,9.179501,7.585698,8.085180, , , ,8.511922,6.824501,8.588363,1.127293,1.180589, ,9.255569,8.667747,9.217618, , , 
    Number of Active Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,1.000000,1.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),9.794277,8.542141,19.292426, , , ,10.842825,9.740623,17.102790, , , ,7.708428,9.299468,18.393223,0.576310,0.448747, ,10.159596,11.214977,18.839123, , , 
Electrode Burst Metrics
    Number of Bursts,398.000000,494.000000,969.000000,0.000000,0.000000,0.000000,445.000000,781.000000,779.000000,0.000000,0.000000,0.000000,408.000000,714.000000,1008.000000,0.000000,0.000000,0.000000,391.000000,534.000000,1012.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),1.179597,0.961982,0.951082, , , ,1.173311,0.765984,1.051997, , , ,1.056209,0.762208,0.819194, , , ,1.164335,1.074543,0.939993, , , 
    Burst Duration - Std (sec),0.344388,0.259833,0.296713, , , ,0.391787,0.295736,0.330609, , , ,0.312619,0.223616,0.257317, , , ,0.287977,0.327954,0.272492, , , 
    Number of Spikes per Burst - Avg,166.188152,116.676545,144.382728, , , ,165.322250,81.153124,154.343208, , , ,126.804425,82.949274,122.701059, , , ,174.991975,140.749493,130.950975, , , 
    Number of Spikes per Burst - Std,67.640179,50.474167,70.684373, , , ,75.029226,47.551366,79.286692, , , ,55.656654,34.304280,62.912815, , , ,59.743367,63.620943,55.598411, , , 
    Mean ISI within Burst - Avg (sec),0.015582,0.014655,0.009225, , , ,0.014151,0.013411,0.009903, , , ,0.016650,0.011576,0.008638, , , ,0.013098,0.017621,0.011143, , , 
    Mean ISI within Burst - Std (sec),0.006996,0.004272,0.003392, , , ,0.002647,0.002829,0.003803, , , ,0.007815,0.004054,0.003205, , , ,0.004204,0.005482,0.002660, , , 
    Median ISI within Burst - Avg (sec),0.012464,0.010958,0.005946, , , ,0.010648,0.008497,0.006542, , , ,0.012663,0.006867,0.005386, , , ,0.010009,0.014526,0.007325, , , 
    Median ISI within Burst - Std (sec),0.007172,0.004369,0.002405, , , ,0.002833,0.002130,0.002797, , , ,0.008369,0.002917,0.002279, , , ,0.003909,0.005558,0.001996, , , 
    Median/Mean ISI within Burst - Avg,0.642737,0.627862,0.614486, , , ,0.625298,0.571239,0.621095, , , ,0.614178,0.560948,0.609704, , , ,0.638345,0.668587,0.611837, , , 
    Median/Mean ISI within Burst - Std,0.038315,0.048592,0.032437, , , ,0.038489,0.036454,0.059726, , , ,0.068845,0.030017,0.078135, , , ,0.028806,0.039937,0.048371, , , 
    Inter-Burst Interval - Avg (sec),14.915537,11.282699,5.918523, , , ,12.796883,6.746449,7.409013, , , ,14.832491,7.392990,6.533198, , , ,15.333950,11.037378,5.670158, , , 
    Inter-Burst Interval - Std (sec),2.727290,1.514333,0.676839, , , ,1.299732,0.466576,0.900615, , , ,2.897010,0.224890,4.639434, , , ,1.761755,3.178870,0.674238, , , 
    Burst Frequency - Avg (Hz),0.056663,0.070330,0.137956, , , ,0.063354,0.118603,0.110905, , , ,0.058087,0.108428,0.143508, , , ,0.055666,0.076025,0.144077, , , 
    Burst Frequency - Std (Hz),0.010777,0.010648,0.016862, , , ,0.005776,0.007866,0.013118, , , ,0.015934,0.003312,0.029724, , , ,0.007250,0.017857,0.016139, , , 
    IBI Coefficient of Variation - Avg,0.490660,0.467447,0.343897, , , ,0.478720,0.412334,0.374097, , , ,0.481752,0.439812,0.356850, , , ,0.435064,0.586111,0.451966, , , 
    IBI Coefficient of Variation - Std,0.166379,0.138307,0.132945, , , ,0.123859,0.086327,0.111814, , , ,0.155534,0.035367,0.085329, , , ,0.121637,0.134450,0.102979, , , 
    Burst Percentage - Avg,95.393330,94.228163,98.484441, , , ,95.970754,89.807395,97.217232, , , ,94.423183,88.838195,95.183177,0.000000,0.000000,0.000000,95.667773,93.922031,98.321521, , ,0.000000
    Burst Percentage - Std,3.797673,3.264466,3.167527, , , ,2.581678,24.442261,3.737942, , , ,3.512126,24.387407,14.856630,0.000000, ,0.000000,3.253626,6.989076,2.239878, , ,0.000000
Network Burst Metrics
    Number of Network Bursts,20.000000,26.000000,52.000000,0.000000,0.000000,0.000000,22.000000,46.000000,44.000000,0.000000,0.000000,0.000000,19.000000,46.000000,64.000000,0.000000,0.000000,0.000000,20.000000,27.000000,48.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.045558,0.059226,0.118451, , , ,0.050114,0.104784,0.100228, , , ,0.043280,0.104784,0.145786, , , ,0.045558,0.061503,0.109339, , , 
    Network Burst Duration - Avg (sec),3.117588,2.060914,1.404391, , , ,2.741491,1.454930,1.657658, , , ,2.916088,1.351464,1.247270, , , ,2.797960,2.437410,1.664188, , , 
    Network Burst Duration - Std (sec),0.673633,0.547756,0.144169, , , ,0.246353,0.104651,0.280510, , , ,0.575203,0.150019,0.167642, , , ,0.796683,0.867305,0.160548, , , 
    Number of Spikes per Network Burst - Avg,3374.050000,2240.615385,2597.557692, , , ,3405.818182,1387.304348,2698.136364, , , ,2747.315789,1303.217391,2013.031250, , , ,3485.150000,2837.222222,2740.458333, , , 
    Number of Spikes per Network Burst - Std,784.336828,639.349111,152.725104, , , ,71.746668,145.164408,278.508368, , , ,70.935066,142.102922,149.853682, , , ,858.086934,1173.799922,112.219761, , , 
    Mean ISI within Network Burst - Avg (sec),0.001378,0.001244,0.000541, , , ,0.000806,0.001060,0.000617, , , ,0.001064,0.001046,0.000620, , , ,0.000807,0.001607,0.000607, , , 
    Mean ISI within Network Burst - Std (sec),0.002062,0.001219,0.000041, , , ,0.000077,0.000130,0.000115, , , ,0.000219,0.000134,0.000073, , , ,0.000114,0.001923,0.000051, , , 
