AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251017_LGI2 KD_Plate 2_D41N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,442.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,51115.000000,49579.000000,101651.000000,0.000000,0.000000,0.000000,45924.000000,42952.000000,87557.000000,0.000000,0.000000,2.000000,44168.000000,62911.000000,72610.000000,17.000000,218.000000,1.000000,54212.000000,63092.000000,89485.000000,0.000000,0.000000,3.000000
    Mean Firing Rate (Hz),7.227800,7.010605,14.373727,0.000000,0.000000,0.000000,6.493778,6.073529,12.380798,0.000000,0.000000,0.000283,6.245475,8.895786,10.267251,0.002404,0.030826,0.000141,7.665724,8.921380,12.653422,0.000000,0.000000,0.000424
    ISI Coefficient of Variation - Avg,9.221729,9.345312,9.291939, , , ,10.131889,7.132308,9.050155, , , ,9.068421,8.829638,9.381958, ,2.096726, ,9.845791,8.292023,9.519069, , , 
    Number of Active Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,1.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),7.227800,7.010605,14.373727, , , ,6.493778,6.073529,12.380798, , , ,6.245475,9.484917,10.267251, ,0.493213, ,7.665724,8.921380,12.653422, , , 
Electrode Burst Metrics
    Number of Bursts,308.000000,360.000000,597.000000,0.000000,0.000000,0.000000,255.000000,462.000000,539.000000,0.000000,0.000000,0.000000,316.000000,434.000000,478.000000,0.000000,1.000000,0.000000,269.000000,369.000000,575.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,1.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),1.247835,1.097613,1.200953, , , ,1.195083,0.854036,1.173953, , , ,1.058540,1.160060,1.077425, ,0.267200, ,1.250852,1.315198,1.146860, , , 
