AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250919_LGI2 KD_Plate 2_D13N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,441.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,185.000000,773.000000,283.000000,1.000000,0.000000,0.000000,217.000000,137.000000,354.000000,0.000000,0.000000,0.000000,291.000000,790.000000,308.000000,0.000000,37.000000,0.000000,126.000000,266.000000,288.000000,1.000000,14.000000,6.000000
    Mean Firing Rate (Hz),0.026219,0.109552,0.040108,0.000142,0.000000,0.000000,0.030754,0.019416,0.050170,0.000000,0.000000,0.000000,0.041241,0.111961,0.043651,0.000000,0.005244,0.000000,0.017857,0.037698,0.040816,0.000142,0.001984,0.000850
    ISI Coefficient of Variation - Avg,1.378277,1.116198,1.326105, , , ,1.521967,1.121552,2.148891, , , ,1.620188,1.221455,1.048410, ,1.285382, ,1.036833,1.111225,1.459727, , , 
    Number of Active Electrodes,2.000000,4.000000,2.000000,0.000000,0.000000,0.000000,3.000000,1.000000,2.000000,0.000000,0.000000,0.000000,4.000000,5.000000,3.000000,0.000000,1.000000,0.000000,1.000000,4.000000,3.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.134921,0.406463,0.282313, , , ,0.114890,0.104308,0.309524, , , ,0.133787,0.321088,0.133787, ,0.083900, ,0.086168,0.112812,0.142101, , , 
Electrode Burst Metrics
    Number of Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec), , , , , , , , ,0.516040, , , , , , , , , , , , , , , 
    Burst Duration - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Number of Spikes per Burst - Avg, , , , , , , , ,9.500000, , , , , , , , , , , , , , , 
    Number of Spikes per Burst - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Mean ISI within Burst - Avg (sec), , , , , , , , ,0.061440, , , , , , , , , , , , , , , 
