AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251010_LGI2 KD_Plate 2_D34N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,37681.000000,40155.000000,55587.000000,1.000000,0.000000,0.000000,34283.000000,35744.000000,76575.000000,0.000000,4.000000,0.000000,29488.000000,68779.000000,65154.000000,692.000000,450.000000,0.000000,43336.000000,55042.000000,56023.000000,1.000000,13.000000,14.000000
    Mean Firing Rate (Hz),5.316168,5.665209,7.842410,0.000141,0.000000,0.000000,4.836766,5.042889,10.803471,0.000000,0.000564,0.000000,4.160271,9.703584,9.192156,0.097630,0.063488,0.000000,6.113995,7.765519,7.903922,0.000141,0.001834,0.001975
    ISI Coefficient of Variation - Avg,7.992466,7.035947,7.641798, , , ,7.657363,6.526469,8.226790, , , ,8.292158,8.636818,8.343142,3.688638,3.126777, ,8.146428,7.830489,7.981337, , , 
    Number of Active Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,1.000000,1.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),5.316168,5.665209,7.842410, , , ,4.836766,5.376674,10.803471, , , ,4.160271,10.347479,9.192156,1.562077,1.015801, ,6.113995,7.765519,7.903922, , , 
Electrode Burst Metrics
    Number of Bursts,339.000000,526.000000,574.000000,0.000000,0.000000,0.000000,323.000000,545.000000,600.000000,0.000000,0.000000,0.000000,318.000000,519.000000,576.000000,4.000000,2.000000,0.000000,341.000000,482.000000,615.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,1.000000,1.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.942141,0.785663,0.913683, , , ,0.878707,0.668548,1.017854, , , ,0.880727,1.155405,0.883396,0.222680,0.237520, ,1.026758,0.969141,0.901312, , , 
