AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251009_LGI2 KD_Plate 2_D33N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,29931.000000,31858.000000,39870.000000,2.000000,1.000000,0.000000,24020.000000,31016.000000,63488.000000,1.000000,10.000000,0.000000,20723.000000,60242.000000,57669.000000,1091.000000,3437.000000,0.000000,33593.000000,45080.000000,42475.000000,0.000000,15.000000,5.000000
    Mean Firing Rate (Hz),4.222771,4.494639,5.625000,0.000282,0.000141,0.000000,3.388826,4.375847,8.957111,0.000141,0.001411,0.000000,2.923674,8.499153,8.136146,0.153922,0.484904,0.000000,4.739419,6.360045,5.992523,0.000000,0.002116,0.000705
    ISI Coefficient of Variation - Avg,7.558274,6.257962,7.121924, , , ,6.604365,6.533157,7.837452, , , ,7.316153,9.272236,8.738677,1.863872,1.502041, ,7.371134,7.577800,7.483998, , , 
    Number of Active Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,15.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,1.000000,1.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),4.222771,4.494639,5.625000, , , ,3.609481,4.666065,8.957111, , , ,2.923674,9.064560,8.136146,2.462754,7.758465, ,4.739419,6.779834,5.992523, , , 
Electrode Burst Metrics
    Number of Bursts,287.000000,475.000000,460.000000,0.000000,0.000000,0.000000,245.000000,450.000000,525.000000,0.000000,0.000000,0.000000,299.000000,479.000000,521.000000,11.000000,233.000000,0.000000,286.000000,477.000000,542.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,16.000000,16.000000,15.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,15.000000,1.000000,1.000000,0.000000,15.000000,15.000000,16.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.894880,0.712109,0.885741, , , ,0.824122,0.691714,0.946892, , , ,0.751250,1.132575,0.931021,0.203753,0.347970, ,1.028859,0.933976,0.834494, , , 
    Burst Duration - Std (sec),0.356349,0.294044,0.352840, , , ,0.372718,0.340960,0.400310, , , ,0.282701,0.184365,0.356508, , , ,0.217807,0.416736,0.276541, , , 
    Number of Spikes per Burst - Avg,89.102914,60.529056,84.001708, , , ,83.173663,59.829408,115.045086, , , ,72.881085,127.001495,112.318350,5.272727,8.339056, ,106.098948,90.655091,76.388049, , , 
    Number of Spikes per Burst - Std,42.558029,40.836412,53.453121, , , ,51.776243,39.235582,83.779520, , , ,41.084235,50.296385,70.682487, , , ,36.183315,55.333936,39.211085, , , 
    Mean ISI within Burst - Avg (sec),0.018039,0.020566,0.017577, , , ,0.017740,0.017179,0.014355, , , ,0.017689,0.017571,0.014790,0.046853,0.047956, ,0.016221,0.020231,0.018815, , , 
    Mean ISI within Burst - Std (sec),0.007752,0.006864,0.005423, , , ,0.007417,0.003012,0.004666, , , ,0.010431,0.008830,0.004207, , , ,0.005267,0.006048,0.008221, , , 
    Median ISI within Burst - Avg (sec),0.013988,0.015616,0.012901, , , ,0.013401,0.012280,0.009952, , , ,0.013420,0.013856,0.010548,0.049400,0.043420, ,0.011903,0.016177,0.014521, , , 
    Median ISI within Burst - Std (sec),0.008259,0.007518,0.005273, , , ,0.007662,0.002891,0.003524, , , ,0.011020,0.008551,0.003243, , , ,0.005633,0.006700,0.008409, , , 
    Median/Mean ISI within Burst - Avg,0.639197,0.654062,0.617414, , , ,0.639172,0.633695,0.609673, , , ,0.639737,0.648606,0.615691,1.041429,0.893421, ,0.614459,0.660023,0.658180, , , 
    Median/Mean ISI within Burst - Std,0.080542,0.080504,0.042709, , , ,0.086000,0.097555,0.048376, , , ,0.100576,0.076350,0.030052, , , ,0.049530,0.073231,0.069506, , , 
    Inter-Burst Interval - Avg (sec),19.212066,15.019318,11.802900, , , ,21.783383,15.898038,12.147709, , , ,24.953294,11.335296,10.322584,16.944696,1.337918, ,18.842445,11.790088,10.840929, , , 
    Inter-Burst Interval - Std (sec),3.944536,13.752185,1.370366, , , ,4.008302,18.419017,6.857400, , , ,8.577093,2.062845,0.965455,0.000000,0.000000, ,2.610424,1.905900,2.474644, , , 
    Burst Frequency - Avg (Hz),0.040491,0.067015,0.069225, , , ,0.034565,0.067720,0.074069, , , ,0.042184,0.072084,0.078405,0.024831,0.525959, ,0.043040,0.071783,0.076467, , , 
    Burst Frequency - Std (Hz),0.013975,0.019291,0.009176, , , ,0.011019,0.018418,0.018006, , , ,0.037635,0.017557,0.007008, , , ,0.007162,0.012747,0.021365, , , 
    IBI Coefficient of Variation - Avg,0.538077,0.571622,0.436099, , , ,0.568369,0.447668,0.412578, , , ,0.515994,0.464015,0.454234,1.005661,0.944377, ,0.493164,0.539975,0.484154, , , 
    IBI Coefficient of Variation - Std,0.236953,0.164045,0.132808, , , ,0.198731,0.097522,0.156653, , , ,0.242196,0.172988,0.120813,0.000000,0.000000, ,0.159452,0.149216,0.169493, , , 
    Burst Percentage - Avg,86.533894,87.405824,86.853190,0.000000,0.000000, ,83.214469,81.844623,90.685218,0.000000,0.000000, ,88.576702,89.243226,90.286291,5.316224,56.531859, ,84.506471,87.078166,92.537721, ,0.000000,0.000000
    Burst Percentage - Std,19.404257,13.381658,23.491393, , , ,19.995840,29.541109,17.131377, , , ,8.131002,24.146584,24.205843, , , ,22.908238,23.475690,6.152342, , ,0.000000
Network Burst Metrics
    Number of Network Bursts,14.000000,23.000000,25.000000,0.000000,0.000000,0.000000,13.000000,26.000000,29.000000,0.000000,0.000000,0.000000,12.000000,24.000000,28.000000,0.000000,0.000000,0.000000,15.000000,23.000000,25.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.031603,0.051919,0.056433, , , ,0.029345,0.058691,0.065463, , , ,0.027088,0.054176,0.063205, , , ,0.033860,0.051919,0.056433, , , 
    Network Burst Duration - Avg (sec),3.514314,2.432901,2.493568, , , ,2.883920,2.098465,2.018654, , , ,2.412487,2.631640,1.936860, , , ,3.434181,3.069628,2.427706, , , 
    Network Burst Duration - Std (sec),0.561462,0.413240,0.295016, , , ,0.423913,0.160675,0.109025, , , ,0.616873,0.258056,0.133488, , , ,0.527783,0.572675,0.293686, , , 
    Number of Spikes per Network Burst - Avg,2024.428571,1328.130435,1556.520000, , , ,1706.769231,1170.653846,2152.137931, , , ,1567.916667,2459.500000,2047.714286, , , ,2109.533333,1898.347826,1648.560000, , , 
    Number of Spikes per Network Burst - Std,42.442204,227.997070,41.194781, , , ,493.462791,32.534219,48.461858, , , ,384.966931,41.085277,40.540658, , , ,36.386549,177.040984,35.434305, , , 
    Mean ISI within Network Burst - Avg (sec),0.001739,0.001885,0.001604, , , ,0.004081,0.001795,0.000939, , , ,0.001559,0.001070,0.000947, , , ,0.001629,0.001618,0.001473, , , 
    Mean ISI within Network Burst - Std (sec),0.000287,0.000370,0.000190, , , ,0.008970,0.000145,0.000055, , , ,0.000195,0.000101,0.000072, , , ,0.000254,0.000258,0.000169, , , 
    Median ISI within Network Burst - Avg (sec),0.000400,0.000595,0.000480, , , ,0.002843,0.000563,0.000368, , , ,0.000413,0.000343,0.000394, , , ,0.000400,0.000466,0.000426, , , 
    Median ISI within Network Burst - Std (sec),0.000000,0.000344,0.000000, , , ,0.008713,0.000036,0.000039, , , ,0.000089,0.000037,0.000021, , , ,0.000000,0.000098,0.000038, , , 
    Median/Mean ISI within Network Burst - Avg,0.236056,0.306052,0.303079, , , ,0.322876,0.315384,0.393901, , , ,0.269475,0.322515,0.418364, , , ,0.250941,0.293718,0.291762, , , 
    Median/Mean ISI within Network Burst - Std,0.039606,0.081588,0.033105, , , ,0.188400,0.030209,0.050642, , , ,0.063884,0.037683,0.035500, , , ,0.037897,0.070462,0.035411, , , 
    Number of Elecs Participating in Burst - Avg,15.857143,15.956522,15.920000, , , ,15.461538,15.230769,16.000000, , , ,16.000000,15.291667,15.857143, , , ,15.866667,15.695652,16.000000, , , 
    Number of Elecs Participating in Burst - Std,0.363137,0.208514,0.276887, , , ,1.391365,0.429669,0.000000, , , ,0.000000,0.464306,0.356348, , , ,0.351866,0.470472,0.000000, , , 
    Number of Spikes per Network Burst per Channel - Avg,127.743452,83.061594,97.787167, , , ,108.009178,76.924840,134.508621, , , ,97.994792,160.989236,129.219940, , , ,133.013611,120.959964,103.035000, , , 
    Number of Spikes per Network Burst per Channel - Std,4.451414,13.996703,2.632824, , , ,30.822259,3.170520,3.028866, , , ,24.060433,5.802649,4.594294, , , ,3.673656,11.285967,2.214644, , , 
    Network Burst Percentage,94.691123,95.884864,97.599699, , , ,92.373022,98.133222,98.305192, , , ,90.792839,97.984795,99.422567, , , ,94.195219,96.854481,97.031195, , , 
    Network IBI Coefficient of Variation,0.043136,0.060827,0.064760, , , ,0.240381,0.057516,0.030335, , , ,0.043905,0.054213,0.063727, , , ,0.057973,0.064580,0.041632, , , 
    Network Normalized Duration IQR,0.204340,0.168411,0.148379, , , ,0.196040,0.101722,0.080398, , , ,0.112101,0.085172,0.067901, , , ,0.228770,0.249966,0.127250, , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.499647,0.475931,0.466144,0.000000,0.000000,0.000000,0.445012,0.474492,0.536556,0.000000,0.000000,0.000000,0.558320,0.491858,0.527645,0.000000,0.000000,0.000000,0.432093,0.481865,0.510245,0.000000,0.000000,0.000000
    Area Under Cross-Correlation,20.588149,17.650527,23.961174,0.000000,0.000000,0.000000,15.073194,16.581151,48.074530,0.000000,0.000000,0.000000,13.256038,47.497479,43.268473,0.000000,0.000000,0.000000,24.039409,28.528198,27.572987,0.000000,0.000000,0.000000
    Full Width at Half Height of Normalized Cross-Correlation,50.000000,59.000000,54.000000, , , ,61.000000,52.000000,44.000000, , , ,44.000000,50.000000,45.000000, , , ,69.000000,49.000000,51.000000, , , 
    Full Width at Half Height of Cross-Correlation,478.000000,384.000000,407.000000, , , ,550.000000,274.000000,653.000000, , , ,413.000000,696.000000,512.000000, , , ,547.000000,556.000000,392.000000, , , 
    Synchrony Index, , , , , , , , , , , , , , , , , , , , , , , , 
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode,32.000000,22.000000,11.000000, , , ,11.000000,13.000000,13.000000, , , ,33.000000,21.000000,42.000000, , , ,14.000000,22.000000,11.000000, , , 
    Percent Bursts with Start Electrode,28.571429,39.130435,24.000000, , , ,46.153846,23.076923,24.137931, , , ,33.333333,25.000000,28.571429, , , ,33.333333,17.391304,20.000000, , , 
    Burst Peak (Max Spikes per sec),1428.571429,2086.956522,2720.000000, , , ,2692.307692,2384.615385,3379.310345, , , ,2666.666667,3541.666667,4142.857143, , , ,1066.666667,2130.434783,2520.000000, , , 
    Time to Burst Peak (ms),470.500000,288.500000,470.500000, , , ,410.500000,236.500000,346.500000, , , ,284.500000,444.500000,66.500000, , , ,488.500000,322.500000,482.500000, , , 
Viability Metrics
    Resistance - Avg (kOhms),27.537638,26.886942,27.087323, , , ,27.562931,27.892992,30.830141, , , ,27.544408,33.669021,30.337095, , , ,26.909622,27.444231,29.109755, , , 
    Resistance - Std (kOhms),3.685934,2.793211,3.581136, , , ,3.913982,4.594204,4.603467, , , ,2.382443,3.576118,4.434364, , , ,1.745173,3.803118,2.695124, , , 
    Number of Covered Electrodes,15.000000,15.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , 
    Weighted Mean Resistance (kOhms),27.537638,26.886942,27.087323, , , ,27.562931,27.892992,30.830141, , , ,27.544408,33.669021,30.337095, , , ,26.909622,27.444231,29.109755, , , 

