AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250920_LGI2 KD_Plate 2_D14N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,444.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,225.000000,783.000000,416.000000,0.000000,0.000000,0.000000,497.000000,216.000000,314.000000,0.000000,1.000000,3.000000,351.000000,1628.000000,392.000000,4.000000,139.000000,0.000000,124.000000,395.000000,568.000000,1.000000,16.000000,113.000000
    Mean Firing Rate (Hz),0.031672,0.110220,0.058559,0.000000,0.000000,0.000000,0.069961,0.030405,0.044200,0.000000,0.000141,0.000422,0.049409,0.229167,0.055180,0.000563,0.019566,0.000000,0.017455,0.055602,0.079955,0.000141,0.002252,0.015907
    ISI Coefficient of Variation - Avg,1.289481,1.317828,1.159664, , , ,1.224617,1.577506,1.940839, , , ,1.238296,1.400536,1.215700, ,1.415896, ,1.627604,0.912988,1.263539, , ,0.711304
    Number of Active Electrodes,3.000000,3.000000,4.000000,0.000000,0.000000,0.000000,4.000000,2.000000,3.000000,0.000000,0.000000,0.000000,4.000000,8.000000,5.000000,0.000000,1.000000,0.000000,1.000000,3.000000,4.000000,0.000000,0.000000,2.000000
    Weighted Mean Firing Rate (Hz),0.115616,0.533033,0.220721, , , ,0.250563,0.147523,0.207958, , , ,0.177365,0.432151,0.137838, ,0.313063, ,0.139640,0.231231,0.264077, , ,0.100225
Electrode Burst Metrics
    Number of Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec), , , , , , , , , , , , ,0.154640,0.234040, , , , , , ,0.302360, , , 
