AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251006_LGI2 KD_Plate 2_D30N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,18171.000000,18739.000000,26147.000000,1.000000,0.000000,0.000000,15148.000000,17640.000000,40463.000000,1.000000,1.000000,0.000000,14899.000000,39774.000000,38306.000000,140.000000,1361.000000,1.000000,18064.000000,23416.000000,24241.000000,1.000000,7.000000,30.000000
    Mean Firing Rate (Hz),2.563629,2.643764,3.688911,0.000141,0.000000,0.000000,2.137133,2.488713,5.708663,0.000141,0.000141,0.000000,2.102003,5.611456,5.404345,0.019752,0.192015,0.000141,2.548533,3.303612,3.420006,0.000141,0.000988,0.004233
    ISI Coefficient of Variation - Avg,5.443034,5.333448,5.691637, , , ,5.446023,4.820389,6.891574, , , ,5.610697,7.456377,6.890648,1.077799,1.423734, ,6.009718,5.299960,5.183102, , , 
    Number of Active Electrodes,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,14.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,1.000000,1.000000,0.000000,15.000000,15.000000,16.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),2.733333,2.817005,3.932581, , , ,2.278405,2.842470,6.087133, , , ,2.237923,5.985252,5.763431,0.316027,3.072235, ,2.716479,3.523251,3.420006, , , 
Electrode Burst Metrics
    Number of Bursts,282.000000,476.000000,524.000000,0.000000,0.000000,0.000000,206.000000,417.000000,555.000000,0.000000,0.000000,0.000000,276.000000,496.000000,534.000000,0.000000,28.000000,0.000000,258.000000,392.000000,544.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,14.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,1.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.692659,0.583305,0.632004, , , ,0.739271,0.498402,0.699805, , , ,0.671429,0.871055,0.710012, ,0.265154, ,0.750632,0.642771,0.625305, , , 
