AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250929_LGI2 KD_Plate 2_D23N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,442.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,3703.000000,3898.000000,4992.000000,1.000000,0.000000,1.000000,3803.000000,2327.000000,3499.000000,1.000000,0.000000,0.000000,5113.000000,7923.000000,4812.000000,280.000000,87.000000,0.000000,3389.000000,5299.000000,6630.000000,1.000000,0.000000,12.000000
    Mean Firing Rate (Hz),0.523614,0.551188,0.705882,0.000141,0.000000,0.000141,0.537755,0.329044,0.494768,0.000141,0.000000,0.000000,0.722992,1.120334,0.680430,0.039593,0.012302,0.000000,0.479214,0.749293,0.937500,0.000141,0.000000,0.001697
    ISI Coefficient of Variation - Avg,2.510792,1.947383,2.779065, , , ,2.627569,2.199599,2.249358, , , ,2.982158,3.788045,2.562363,1.010581,1.074087, ,2.302785,2.362108,2.722006, , , 
    Number of Active Electrodes,12.000000,14.000000,11.000000,0.000000,0.000000,0.000000,11.000000,10.000000,12.000000,0.000000,0.000000,0.000000,13.000000,12.000000,13.000000,1.000000,1.000000,0.000000,14.000000,11.000000,13.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.693062,0.626050,1.013163, , , ,0.769231,0.516290,0.650830, , , ,0.887748,1.483032,0.829099,0.631222,0.196833, ,0.545087,1.079391,1.145841, , , 
Electrode Burst Metrics
    Number of Bursts,156.000000,97.000000,180.000000,0.000000,0.000000,0.000000,154.000000,87.000000,131.000000,0.000000,0.000000,0.000000,203.000000,348.000000,199.000000,0.000000,0.000000,0.000000,83.000000,193.000000,221.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,8.000000,8.000000,11.000000,0.000000,0.000000,0.000000,7.000000,6.000000,7.000000,0.000000,0.000000,0.000000,12.000000,11.000000,9.000000,0.000000,0.000000,0.000000,9.000000,9.000000,9.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.330794,0.264963,0.301779, , , ,0.367236,0.314894,0.321059, , , ,0.350232,0.478444,0.340277, , , ,0.296480,0.374961,0.471862, , , 
    Burst Duration - Std (sec),0.129773,0.050996,0.106369, , , ,0.162480,0.118746,0.120758, , , ,0.224890,0.155101,0.130289, , , ,0.100271,0.119811,0.195210, , , 
    Number of Spikes per Burst - Avg,8.508944,6.250074,7.527478, , , ,10.056740,7.437566,9.550824, , , ,8.043684,12.995951,10.380273, , , ,6.792130,9.477887,11.043098, , , 
    Number of Spikes per Burst - Std,3.299998,0.827804,2.193218, , , ,4.448859,2.174072,5.909866, , , ,4.800613,4.459617,5.915680, , , ,1.281771,5.310450,7.174581, , , 
    Mean ISI within Burst - Avg (sec),0.046542,0.051165,0.047938, , , ,0.043550,0.049042,0.043051, , , ,0.051547,0.043817,0.041718, , , ,0.052912,0.050471,0.056238, , , 
    Mean ISI within Burst - Std (sec),0.013031,0.009042,0.007924, , , ,0.004869,0.008361,0.010449, , , ,0.014969,0.008780,0.007568, , , ,0.014333,0.014560,0.014283, , , 
    Median ISI within Burst - Avg (sec),0.046479,0.049916,0.048609, , , ,0.042016,0.047220,0.040878, , , ,0.050197,0.042564,0.039120, , , ,0.050509,0.048846,0.055944, , , 
    Median ISI within Burst - Std (sec),0.015426,0.011150,0.010413, , , ,0.006158,0.008218,0.013717, , , ,0.016902,0.011017,0.009441, , , ,0.015470,0.017163,0.015210, , , 
    Median/Mean ISI within Burst - Avg,0.974151,0.962395,1.001016, , , ,0.941970,0.960639,0.922570, , , ,0.952739,0.943630,0.911514, , , ,0.941381,0.935682,0.981890, , , 
    Median/Mean ISI within Burst - Std,0.076462,0.100645,0.060544, , , ,0.047377,0.033826,0.105117, , , ,0.075980,0.068101,0.066595, , , ,0.060114,0.083884,0.055123, , , 
    Inter-Burst Interval - Avg (sec),37.078251,37.013803,47.147405, , , ,21.838316,46.209175,41.232290, , , ,32.070597,12.338323,46.462101, , , ,42.601497,60.063690,19.795291, , , 
    Inter-Burst Interval - Std (sec),48.686770,22.216098,59.673050, , , ,13.593248,40.224781,40.872015, , , ,25.655086,4.763372,65.385547, , , ,32.419962,87.884499,16.309900, , , 
    Burst Frequency - Avg (Hz),0.044118,0.027432,0.037022, , , ,0.049774,0.032805,0.042340, , , ,0.038273,0.071575,0.050025, , , ,0.020865,0.048517,0.055556, , , 
    Burst Frequency - Std (Hz),0.025937,0.029903,0.030002, , , ,0.027863,0.023631,0.035598, , , ,0.036627,0.020039,0.032756, , , ,0.017296,0.033750,0.035559, , , 
    IBI Coefficient of Variation - Avg,0.825979,0.934356,0.721586, , , ,0.778504,0.465119,0.615483, , , ,0.725475,0.714181,0.614816, , , ,0.826185,0.723063,0.707659, , , 
    IBI Coefficient of Variation - Std,0.203326,0.308341,0.234415, , , ,0.330979,0.175612,0.260202, , , ,0.274563,0.205633,0.139558, , , ,0.297842,0.156161,0.212325, , , 
    Burst Percentage - Avg,20.962094,9.734139,22.872878,0.000000, ,0.000000,21.660122,14.471700,17.973395,0.000000, , ,25.672438,43.389563,26.427971,0.000000,0.000000, ,11.301294,20.765325,23.903497,0.000000, ,0.000000
    Burst Percentage - Std,23.063915,12.919848,25.660719, , , ,28.988317,21.732389,27.446669, , , ,25.500773,30.046433,30.558406,0.000000, , ,13.574869,25.067666,28.805326, , ,0.000000
Network Burst Metrics
    Number of Network Bursts,21.000000,25.000000,28.000000,0.000000,0.000000,0.000000,21.000000,23.000000,26.000000,0.000000,0.000000,0.000000,22.000000,23.000000,26.000000,0.000000,0.000000,0.000000,22.000000,24.000000,29.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.047511,0.056561,0.063348, , , ,0.047511,0.052036,0.058824, , , ,0.049774,0.052036,0.058824, , , ,0.049774,0.054299,0.065611, , , 
    Network Burst Duration - Avg (sec),1.835573,1.657062,2.114031, , , ,1.812830,1.348323,1.352003, , , ,2.910000,2.425951,1.631015, , , ,1.564007,1.897873,2.712359, , , 
    Network Burst Duration - Std (sec),0.421305,0.380288,0.299470, , , ,0.372412,0.243687,0.244208, , , ,0.651199,0.220563,0.203423, , , ,0.516038,0.320352,0.628183, , , 
    Number of Spikes per Network Burst - Avg,121.952381,92.320000,141.535714, , , ,140.380952,71.217391,111.115385, , , ,187.863636,305.565217,160.384615, , , ,94.045455,146.916667,173.896552, , , 
    Number of Spikes per Network Burst - Std,19.082652,16.390343,15.889624, , , ,24.826349,9.486625,12.163312, , , ,49.566978,22.195057,16.531369, , , ,22.209988,20.233241,32.692665, , , 
    Mean ISI within Network Burst - Avg (sec),0.015115,0.018168,0.015051, , , ,0.013051,0.019206,0.012328, , , ,0.016634,0.008005,0.010314, , , ,0.016876,0.013118,0.015893, , , 
    Mean ISI within Network Burst - Std (sec),0.002076,0.002581,0.001436, , , ,0.001616,0.002304,0.002170, , , ,0.005600,0.000929,0.001520, , , ,0.004487,0.002226,0.003720, , , 
    Median ISI within Network Burst - Avg (sec),0.008745,0.012944,0.009264, , , ,0.007973,0.013793,0.007634, , , ,0.011140,0.004344,0.005774, , , ,0.010962,0.007987,0.009600, , , 
    Median ISI within Network Burst - Std (sec),0.001541,0.002974,0.001077, , , ,0.001264,0.002595,0.001403, , , ,0.005417,0.000486,0.000910, , , ,0.003607,0.001502,0.003131, , , 
    Median/Mean ISI within Network Burst - Avg,0.581087,0.706454,0.617064, , , ,0.610086,0.718084,0.620831, , , ,0.655681,0.543956,0.565008, , , ,0.652040,0.610915,0.600811, , , 
    Median/Mean ISI within Network Burst - Std,0.083611,0.083307,0.058481, , , ,0.052902,0.096504,0.063692, , , ,0.070983,0.032485,0.081562, , , ,0.089298,0.070544,0.056468, , , 
    Number of Elecs Participating in Burst - Avg,12.190476,13.760000,12.464286, , , ,11.809524,10.521739,12.269231, , , ,12.727273,13.652174,12.961538, , , ,13.545455,11.708333,13.137931, , , 
    Number of Elecs Participating in Burst - Std,1.249762,0.879394,0.922241, , , ,0.980767,1.238385,1.185165, , , ,2.027943,0.775107,0.720043, , , ,1.223861,1.334465,1.432384, , , 
    Number of Spikes per Network Burst per Channel - Avg,10.109973,6.725956,11.404435, , , ,11.883534,6.832411,9.091241, , , ,14.523568,22.440835,12.388595, , , ,6.971467,12.639447,13.224259, , , 
    Number of Spikes per Network Burst per Channel - Std,1.871392,1.239329,1.458027, , , ,2.070539,1.022249,0.966193, , , ,3.079071,1.953872,1.235227, , , ,1.610848,1.797426,2.103472, , , 
    Network Burst Percentage,69.160140,59.209851,79.387019, , , ,77.517749,70.391061,82.566448, , , ,80.833170,88.703774,86.658354, , , ,61.050457,66.540857,76.063348, , , 
    Network IBI Coefficient of Variation,0.018508,0.023249,0.026279, , , ,0.011151,0.018035,0.018577, , , ,0.203792,0.022968,0.014632, , , ,0.214780,0.026337,0.156528, , , 
    Network Normalized Duration IQR,0.355607,0.387524,0.228633, , , ,0.202779,0.301258,0.228270, , , ,0.250413,0.142132,0.104276, , , ,0.348017,0.084544,0.371564, , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.032302,0.022259,0.039550,0.000000,0.000000,0.000000,0.037200,0.025104,0.036958,0.000000,0.000000,0.000000,0.028428,0.061919,0.053481,0.000000,0.000000,0.000000,0.034796,0.032677,0.026874,0.000000,0.000000,0.077855
    Area Under Cross-Correlation,0.075207,0.048906,0.112934,0.000000,0.000000,0.000000,0.094985,0.029393,0.090498,0.000000,0.000000,0.000000,0.109578,0.415724,0.180939,0.000000,0.000000,0.000000,0.052847,0.112896,0.139838,0.000000,0.000000,0.000132
    Full Width at Half Height of Normalized Cross-Correlation,87.000000,138.000000,61.000000, , , ,90.000000,81.000000,122.000000, , , ,94.000000,143.000000,105.000000, , , ,99.000000,76.000000,128.000000, , ,1.000000
    Full Width at Half Height of Cross-Correlation,981.000000,947.000000,991.000000, , , ,960.000000,681.000000,857.000000, , , ,996.000000,1000.000000,760.000000, , , ,886.000000,970.000000,1000.000000, , ,1.000000
    Synchrony Index, , , , , , , , , , , , , , , , , , , , , , , , 
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode,42.000000,44.000000,31.000000, , , ,11.000000,43.000000,24.000000, , , ,21.000000,42.000000,43.000000, , , ,42.000000,12.000000,14.000000, , , 
    Percent Bursts with Start Electrode,57.142857,20.000000,28.571429, , , ,28.571429,26.086957,30.769231, , , ,22.727273,60.869565,23.076923, , , ,18.181818,20.833333,27.586207, , , 
    Burst Peak (Max Spikes per sec),285.714286,280.000000,285.714286, , , ,380.952381,217.391304,307.692308, , , ,318.181818,391.304348,384.615385, , , ,272.727273,458.333333,275.862069, , , 
    Time to Burst Peak (ms),392.500000,425.500000,348.500000, , , ,482.500000,104.500000,338.500000, , , ,424.500000,296.500000,415.500000, , , ,280.500000,406.500000,411.500000, , , 
Viability Metrics
    Resistance - Avg (kOhms),26.786006,27.798544,28.720238, , , ,26.108705,26.090014,29.417140, , , ,27.428529,30.493234,28.906150, , , ,27.039259,27.533750,28.509684, , , 
    Resistance - Std (kOhms),4.445298,3.849103,4.299669, , , ,3.827027,4.759338,3.939944, , , ,3.964938,4.110711,4.390324, , , ,2.338441,4.841497,3.289738, , , 
    Number of Covered Electrodes,15.000000,15.000000,15.000000, , , ,15.000000,14.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , 
    Weighted Mean Resistance (kOhms),26.786006,27.798544,28.720238, , , ,26.108705,26.683366,29.417140, , , ,27.428529,30.493234,28.906150, , , ,27.039259,27.533750,28.509684, , , 

Measurement,A1_11,A1_12,A1_13,A1_14,A1_21,A1_22,A1_23,A1_24,A1_31,A1_32,A1_33,A1_34,A1_41,A1_42,A1_43,A1_44,A2_11,A2_12,A2_13,A2_14,A2_21,A2_22,A2_23,A2_24,A2_31,A2_32,A2_33,A2_34,A2_41,A2_42,A2_43,A2_44,A3_11,A3_12,A3_13,A3_14,A3_21,A3_22,A3_23,A3_24,A3_31,A3_32,A3_33,A3_34,A3_41,A3_42,A3_43,A3_44,A4_11,A4_12,A4_13,A4_14,A4_21,A4_22,A4_23,A4_24,A4_31,A4_32,A4_33,A4_34,A4_41,A4_42,A4_43,A4_44,A5_11,A5_12,A5_13,A5_14,A5_21,A5_22,A5_23,A5_24,A5_31,A5_32,A5_33,A5_34,A5_41,A5_42,A5_43,A5_44,A6_11,A6_12,A6_13,A6_14,A6_21,A6_22,A6_23,A6_24,A6_31,A6_32,A6_33,A6_34,A6_41,A6_42,A6_43,A6_44,B1_11,B1_12,B1_13,B1_14,B1_21,B1_22,B1_23,B1_24,B1_31,B1_32,B1_33,B1_34,B1_41,B1_42,B1_43,B1_44,B2_11,B2_12,B2_13,B2_14,B2_21,B2_22,B2_23,B2_24,B2_31,B2_32,B2_33,B2_34,B2_41,B2_42,B2_43,B2_44,B3_11,B3_12,B3_13,B3_14,B3_21,B3_22,B3_23,B3_24,B3_31,B3_32,B3_33,B3_34,B3_41,B3_42,B3_43,B3_44,B4_11,B4_12,B4_13,B4_14,B4_21,B4_22,B4_23,B4_24,B4_31,B4_32,B4_33,B4_34,B4_41,B4_42,B4_43,B4_44,B5_11,B5_12,B5_13,B5_14,B5_21,B5_22,B5_23,B5_24,B5_31,B5_32,B5_33,B5_34,B5_41,B5_42,B5_43,B5_44,B6_11,B6_12,B6_13,B6_14,B6_21,B6_22,B6_23,B6_24,B6_31,B6_32,B6_33,B6_34,B6_41,B6_42,B6_43,B6_44,C1_11,C1_12,C1_13,C1_14,C1_21,C1_22,C1_23,C1_24,C1_31,C1_32,C1_33,C1_34,C1_41,C1_42,C1_43,C1_44,C2_11,C2_12,C2_13,C2_14,C2_21,C2_22,C2_23,C2_24,C2_31,C2_32,C2_33,C2_34,C2_41,C2_42,C2_43,C2_44,C3_11,C3_12,C3_13,C3_14,C3_21,C3_22,C3_23,C3_24,C3_31,C3_32,C3_33,C3_34,C3_41,C3_42,C3_43,C3_44,C4_11,C4_12,C4_13,C4_14,C4_21,C4_22,C4_23,C4_24,C4_31,C4_32,C4_33,C4_34,C4_41,C4_42,C4_43,C4_44,C5_11,C5_12,C5_13,C5_14,C5_21,C5_22,C5_23,C5_24,C5_31,C5_32,C5_33,C5_34,C5_41,C5_42,C5_43,C5_44,C6_11,C6_12,C6_13,C6_14,C6_21,C6_22,C6_23,C6_24,C6_31,C6_32,C6_33,C6_34,C6_41,C6_42,C6_43,C6_44,D1_11,D1_12,D1_13,D1_14,D1_21,D1_22,D1_23,D1_24,D1_31,D1_32,D1_33,D1_34,D1_41,D1_42,D1_43,D1_44,D2_11,D2_12,D2_13,D2_14,D2_21,D2_22,D2_23,D2_24,D2_31,D2_32,D2_33,D2_34,D2_41,D2_42,D2_43,D2_44,D3_11,D3_12,D3_13,D3_14,D3_21,D3_22,D3_23,D3_24,D3_31,D3_32,D3_33,D3_34,D3_41,D3_42,D3_43,D3_44,D4_11,D4_12,D4_13,D4_14,D4_21,D4_22,D4_23,D4_24,D4_31,D4_32,D4_33,D4_34,D4_41,D4_42,D4_43,D4_44,D5_11,D5_12,D5_13,D5_14,D5_21,D5_22,D5_23,D5_24,D5_31,D5_32,D5_33,D5_34,D5_41,D5_42,D5_43,D5_44,D6_11,D6_12,D6_13,D6_14,D6_21,D6_22,D6_23,D6_24,D6_31,D6_32,D6_33,D6_34,D6_41,D6_42,D6_43,D6_44,
Activity Metrics
