AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251007_LGI2 KD_Plate 2_D31N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,19663.000000,18197.000000,29074.000000,0.000000,0.000000,0.000000,15887.000000,20771.000000,44551.000000,0.000000,1.000000,0.000000,15393.000000,38585.000000,39870.000000,326.000000,4437.000000,0.000000,20411.000000,25407.000000,24668.000000,0.000000,63.000000,34.000000
    Mean Firing Rate (Hz),2.774125,2.567297,4.101862,0.000000,0.000000,0.000000,2.241394,2.930446,6.285412,0.000000,0.000141,0.000000,2.171699,5.443708,5.625000,0.045993,0.625988,0.000000,2.879656,3.584509,3.480248,0.000000,0.008888,0.004797
    ISI Coefficient of Variation - Avg,5.848438,4.671559,5.951441, , , ,5.285076,5.431500,6.966122, , , ,5.747293,7.135217,7.177531,1.512724,1.136917, ,6.134357,5.443205,5.286404, ,0.979919, 
    Number of Active Electrodes,15.000000,16.000000,15.000000,0.000000,0.000000,0.000000,15.000000,14.000000,15.000000,0.000000,0.000000,0.000000,16.000000,15.000000,15.000000,1.000000,1.000000,0.000000,15.000000,15.000000,16.000000,0.000000,1.000000,0.000000
    Weighted Mean Firing Rate (Hz),2.957111,2.567297,4.373363, , , ,2.389315,3.346340,6.700527, , , ,2.171699,5.805418,5.997743,0.735892,10.015801, ,3.069375,3.822724,3.480248, ,0.139955, 
Electrode Burst Metrics
    Number of Bursts,274.000000,458.000000,530.000000,0.000000,0.000000,0.000000,207.000000,442.000000,597.000000,0.000000,0.000000,0.000000,253.000000,429.000000,499.000000,0.000000,325.000000,0.000000,268.000000,385.000000,505.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,14.000000,15.000000,0.000000,0.000000,0.000000,16.000000,15.000000,15.000000,0.000000,1.000000,0.000000,15.000000,15.000000,16.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.744234,0.537267,0.679567, , , ,0.748626,0.569516,0.779998, , , ,0.680128,0.908060,0.768021, ,0.396494, ,0.802669,0.730073,0.611253, , , 
    Burst Duration - Std (sec),0.258446,0.241142,0.357256, , , ,0.367265,0.382924,0.321699, , , ,0.296667,0.318464,0.300291, , , ,0.260459,0.393700,0.231328, , , 
    Number of Spikes per Burst - Avg,58.920478,34.709885,49.740605, , , ,65.363488,41.589289,77.749549, , , ,52.865847,87.953647,73.589174, ,9.492308, ,66.269726,57.802878,40.579104, , , 
    Number of Spikes per Burst - Std,30.818785,24.379964,34.528698, , , ,47.825948,34.119293,56.068604, , , ,32.712772,44.487276,45.923639, , , ,39.490270,45.132917,21.189246, , , 
    Mean ISI within Burst - Avg (sec),0.020766,0.023714,0.020019, , , ,0.018291,0.019277,0.018786, , , ,0.022838,0.016942,0.018464, ,0.047216, ,0.019893,0.021059,0.021825, , , 
    Mean ISI within Burst - Std (sec),0.006906,0.008946,0.004389, , , ,0.004680,0.002754,0.009954, , , ,0.011535,0.006193,0.004744, , , ,0.007089,0.005095,0.006521, , , 
    Median ISI within Burst - Avg (sec),0.015680,0.018640,0.014567, , , ,0.013152,0.013357,0.014213, , , ,0.018169,0.012524,0.013688, ,0.041592, ,0.014912,0.015700,0.016968, , , 
    Median ISI within Burst - Std (sec),0.007486,0.010202,0.003894, , , ,0.004854,0.002435,0.010308, , , ,0.013014,0.006119,0.005304, , , ,0.007471,0.005152,0.006465, , , 
    Median/Mean ISI within Burst - Avg,0.641318,0.675418,0.640503, , , ,0.635611,0.629729,0.625856, , , ,0.665912,0.636506,0.623698, ,0.867410, ,0.645851,0.653258,0.690499, , , 
    Median/Mean ISI within Burst - Std,0.066691,0.084091,0.065801, , , ,0.081403,0.047876,0.076594, , , ,0.127276,0.069359,0.053339, , , ,0.064940,0.051728,0.090856, , , 
    Inter-Burst Interval - Avg (sec),20.657663,12.346135,10.338684, , , ,25.028355,11.515600,9.740131, , , ,27.672396,12.935074,10.828063, ,0.978520, ,20.486523,14.165203,17.703607, , , 
    Inter-Burst Interval - Std (sec),4.073949,2.643422,1.561731, , , ,3.813497,1.824001,1.832797, , , ,11.054065,2.263059,1.588866, ,0.000000, ,3.867924,1.512719,26.173913, , , 
    Burst Frequency - Avg (Hz),0.041234,0.068924,0.079759, , , ,0.031151,0.071267,0.089842, , , ,0.035694,0.064560,0.075094, ,0.733634, ,0.040331,0.057938,0.071247, , , 
    Burst Frequency - Std (Hz),0.010942,0.018136,0.009450, , , ,0.004841,0.009606,0.030527, , , ,0.021576,0.013699,0.011775, , , ,0.007720,0.006013,0.023889, , , 
    IBI Coefficient of Variation - Avg,0.583149,0.601711,0.457082, , , ,0.498763,0.462613,0.496452, , , ,0.631082,0.477817,0.452554, ,0.727953, ,0.573149,0.502223,0.542861, , , 
    IBI Coefficient of Variation - Std,0.196363,0.170031,0.097307, , , ,0.199778,0.147337,0.148835, , , ,0.232029,0.226502,0.162349, ,0.000000, ,0.214383,0.113456,0.135426, , , 
    Burst Percentage - Avg,79.210113,78.300679,82.192515, , , ,76.694445,75.958144,86.208244, ,0.000000, ,80.020297,83.608315,86.293015,0.000000,69.528961, ,77.735621,80.002068,80.519776, ,0.000000,0.000000
    Burst Percentage - Std,21.607399,21.611411,23.228165, , , ,22.250340,30.761223,23.729426, , , ,11.106150,25.600660,23.970743, , , ,23.227223,22.181649,19.924366, ,0.000000,0.000000
Network Burst Metrics
    Number of Network Bursts,14.000000,22.000000,29.000000,0.000000,0.000000,0.000000,11.000000,26.000000,29.000000,0.000000,0.000000,0.000000,11.000000,22.000000,26.000000,0.000000,0.000000,0.000000,14.000000,20.000000,25.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.031603,0.049661,0.065463, , , ,0.024831,0.058691,0.065463, , , ,0.024831,0.049661,0.058691, , , ,0.031603,0.045147,0.056433, , , 
    Network Burst Duration - Avg (sec),3.025846,2.316753,2.146276, , , ,2.570487,1.993942,1.971983, , , ,2.657164,2.282360,1.989815, , , ,3.146360,2.680764,2.176397, , , 
    Network Burst Duration - Std (sec),0.643197,0.334089,0.290632, , , ,0.226440,0.099775,0.323778, , , ,0.376908,0.207340,0.164207, , , ,0.583071,0.231017,0.465558, , , 
    Number of Spikes per Network Burst - Avg,1244.928571,752.863636,977.448276, , , ,1296.363636,770.153846,1481.517241, , , ,1184.363636,1690.954545,1495.384615, , , ,1296.928571,1181.350000,919.560000, , , 
    Number of Spikes per Network Burst - Std,346.060347,166.096442,29.397019, , , ,60.286437,27.056522,42.902398, , , ,373.311739,36.245824,30.934870, , , ,351.030672,29.385415,105.410341, , , 
    Mean ISI within Network Burst - Avg (sec),0.004721,0.004365,0.002201, , , ,0.001989,0.002594,0.001332, , , ,0.005250,0.001351,0.001332, , , ,0.003999,0.002272,0.002359, , , 
    Mean ISI within Network Burst - Std (sec),0.008916,0.006370,0.000308, , , ,0.000207,0.000133,0.000221, , , ,0.010491,0.000119,0.000116, , , ,0.006301,0.000200,0.000470, , , 
    Median ISI within Network Burst - Avg (sec),0.002423,0.001805,0.000683, , , ,0.000589,0.000831,0.000466, , , ,0.003055,0.000469,0.000483, , , ,0.001797,0.000648,0.000694, , , 
    Median ISI within Network Burst - Std (sec),0.006878,0.004780,0.000054, , , ,0.000040,0.000040,0.000037, , , ,0.008247,0.000028,0.000016, , , ,0.004721,0.000036,0.000104, , , 
    Median/Mean ISI within Network Burst - Avg,0.290077,0.285272,0.314056, , , ,0.297763,0.320883,0.357370, , , ,0.319998,0.349596,0.364995, , , ,0.269252,0.286490,0.297927, , , 
    Median/Mean ISI within Network Burst - Std,0.134249,0.100613,0.035685, , , ,0.022713,0.019264,0.056357, , , ,0.149210,0.034326,0.030743, , , ,0.130740,0.019699,0.032514, , , 
    Number of Elecs Participating in Burst - Avg,15.142857,15.727273,15.413793, , , ,15.636364,14.576923,15.517241, , , ,15.454545,15.272727,15.500000, , , ,15.357143,15.150000,15.840000, , , 
    Number of Elecs Participating in Burst - Std,1.561909,0.702500,0.501230, , , ,0.504525,0.577794,0.508548, , , ,1.809068,0.455842,0.509902, , , ,1.336306,0.366348,0.374166, , , 
    Number of Spikes per Network Burst per Channel - Avg,80.342262,47.529924,63.461782, , , ,82.993561,52.914446,95.568966, , , ,74.227273,110.812311,96.571474, , , ,82.856521,78.006458,58.074000, , , 
    Number of Spikes per Network Burst per Channel - Std,22.060620,10.373970,2.393155, , , ,4.794224,2.826424,4.049122, , , ,22.654337,4.108900,3.596315, , , ,21.832755,2.268658,6.646385, , , 
    Network Burst Percentage,88.638560,91.020498,97.496045, , , ,89.758922,96.403640,96.437790, , , ,84.635873,96.413114,97.516930, , , ,88.956935,92.994057,93.193611, , , 
    Network IBI Coefficient of Variation,0.271102,0.205240,0.041698, , , ,0.107966,0.064194,0.083562, , , ,0.300710,0.055872,0.051027, , , ,0.250913,0.076096,0.084282, , , 
    Network Normalized Duration IQR,0.283463,0.176090,0.143541, , , ,0.101868,0.065488,0.241869, , , ,0.271811,0.114717,0.125130, , , ,0.305767,0.089448,0.234231, , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.428699,0.457990,0.412713,0.000000,0.000000,0.000000,0.379758,0.406810,0.486518,0.000000,0.000000,0.000000,0.490109,0.463190,0.463489,0.000000,0.000000,0.000000,0.419074,0.384804,0.428091,0.000000,-0.000081,0.039267
    Area Under Cross-Correlation,9.352483,7.161644,13.164221,0.000000,0.000000,0.000000,7.302032,8.016479,27.598420,0.000000,0.000000,0.000000,7.265783,24.127596,23.630436,0.000000,0.000000,0.000000,10.037152,11.034819,10.712998,0.000000,0.000000,0.000188
    Full Width at Half Height of Normalized Cross-Correlation,57.000000,59.000000,61.000000, , , ,61.000000,62.000000,51.000000, , , ,51.000000,60.000000,54.000000, , , ,64.000000,64.000000,65.000000, ,1.000000,1.000000
    Full Width at Half Height of Cross-Correlation,279.000000,181.000000,238.000000, , , ,445.000000,217.000000,336.000000, , , ,255.000000,466.000000,418.000000, , , ,450.000000,423.000000,222.000000, ,1.000000,1.000000
    Synchrony Index, , , , , , , , , , , , , , , , , , , , , , , , 
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode,42.000000,13.000000,11.000000, , , ,32.000000,14.000000,11.000000, , , ,22.000000,11.000000,11.000000, , , ,13.000000,32.000000,11.000000, , , 
    Percent Bursts with Start Electrode,28.571429,27.272727,27.586207, , , ,45.454545,19.230769,17.241379, , , ,36.363636,27.272727,23.076923, , , ,42.857143,25.000000,28.000000, , , 
    Burst Peak (Max Spikes per sec),1785.714286,1136.363636,1827.586207, , , ,2363.636364,2192.307692,2344.827586, , , ,2272.727273,2818.181818,2653.846154, , , ,1214.285714,2000.000000,1640.000000, , , 
    Time to Burst Peak (ms),309.500000,216.500000,256.500000, , , ,480.500000,266.500000,210.500000, , , ,260.500000,472.500000,202.500000, , , ,431.500000,480.500000,374.500000, , , 
Viability Metrics
    Resistance - Avg (kOhms),27.838595,26.727243,27.763649, , , ,27.274994,27.148406,30.237887, , , ,27.121543,32.704966,30.036928, , , ,26.966763,27.312872,29.261503, , , 
    Resistance - Std (kOhms),4.330121,3.120541,3.826208, , , ,4.073548,4.964243,3.935000, , , ,2.541754,3.919830,4.308626, , , ,1.579195,3.828944,3.010718, , , 
    Number of Covered Electrodes,15.000000,15.000000,15.000000, , , ,15.000000,14.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , 
    Weighted Mean Resistance (kOhms),27.838595,26.727243,27.763649, , , ,27.274994,27.856255,30.237887, , , ,27.121543,32.704966,30.036928, , , ,26.966763,27.312872,29.261503, , , 

Measurement,A1_11,A1_12,A1_13,A1_14,A1_21,A1_22,A1_23,A1_24,A1_31,A1_32,A1_33,A1_34,A1_41,A1_42,A1_43,A1_44,A2_11,A2_12,A2_13,A2_14,A2_21,A2_22,A2_23,A2_24,A2_31,A2_32,A2_33,A2_34,A2_41,A2_42,A2_43,A2_44,A3_11,A3_12,A3_13,A3_14,A3_21,A3_22,A3_23,A3_24,A3_31,A3_32,A3_33,A3_34,A3_41,A3_42,A3_43,A3_44,A4_11,A4_12,A4_13,A4_14,A4_21,A4_22,A4_23,A4_24,A4_31,A4_32,A4_33,A4_34,A4_41,A4_42,A4_43,A4_44,A5_11,A5_12,A5_13,A5_14,A5_21,A5_22,A5_23,A5_24,A5_31,A5_32,A5_33,A5_34,A5_41,A5_42,A5_43,A5_44,A6_11,A6_12,A6_13,A6_14,A6_21,A6_22,A6_23,A6_24,A6_31,A6_32,A6_33,A6_34,A6_41,A6_42,A6_43,A6_44,B1_11,B1_12,B1_13,B1_14,B1_21,B1_22,B1_23,B1_24,B1_31,B1_32,B1_33,B1_34,B1_41,B1_42,B1_43,B1_44,B2_11,B2_12,B2_13,B2_14,B2_21,B2_22,B2_23,B2_24,B2_31,B2_32,B2_33,B2_34,B2_41,B2_42,B2_43,B2_44,B3_11,B3_12,B3_13,B3_14,B3_21,B3_22,B3_23,B3_24,B3_31,B3_32,B3_33,B3_34,B3_41,B3_42,B3_43,B3_44,B4_11,B4_12,B4_13,B4_14,B4_21,B4_22,B4_23,B4_24,B4_31,B4_32,B4_33,B4_34,B4_41,B4_42,B4_43,B4_44,B5_11,B5_12,B5_13,B5_14,B5_21,B5_22,B5_23,B5_24,B5_31,B5_32,B5_33,B5_34,B5_41,B5_42,B5_43,B5_44,B6_11,B6_12,B6_13,B6_14,B6_21,B6_22,B6_23,B6_24,B6_31,B6_32,B6_33,B6_34,B6_41,B6_42,B6_43,B6_44,C1_11,C1_12,C1_13,C1_14,C1_21,C1_22,C1_23,C1_24,C1_31,C1_32,C1_33,C1_34,C1_41,C1_42,C1_43,C1_44,C2_11,C2_12,C2_13,C2_14,C2_21,C2_22,C2_23,C2_24,C2_31,C2_32,C2_33,C2_34,C2_41,C2_42,C2_43,C2_44,C3_11,C3_12,C3_13,C3_14,C3_21,C3_22,C3_23,C3_24,C3_31,C3_32,C3_33,C3_34,C3_41,C3_42,C3_43,C3_44,C4_11,C4_12,C4_13,C4_14,C4_21,C4_22,C4_23,C4_24,C4_31,C4_32,C4_33,C4_34,C4_41,C4_42,C4_43,C4_44,C5_11,C5_12,C5_13,C5_14,C5_21,C5_22,C5_23,C5_24,C5_31,C5_32,C5_33,C5_34,C5_41,C5_42,C5_43,C5_44,C6_11,C6_12,C6_13,C6_14,C6_21,C6_22,C6_23,C6_24,C6_31,C6_32,C6_33,C6_34,C6_41,C6_42,C6_43,C6_44,D1_11,D1_12,D1_13,D1_14,D1_21,D1_22,D1_23,D1_24,D1_31,D1_32,D1_33,D1_34,D1_41,D1_42,D1_43,D1_44,D2_11,D2_12,D2_13,D2_14,D2_21,D2_22,D2_23,D2_24,D2_31,D2_32,D2_33,D2_34,D2_41,D2_42,D2_43,D2_44,D3_11,D3_12,D3_13,D3_14,D3_21,D3_22,D3_23,D3_24,D3_31,D3_32,D3_33,D3_34,D3_41,D3_42,D3_43,D3_44,D4_11,D4_12,D4_13,D4_14,D4_21,D4_22,D4_23,D4_24,D4_31,D4_32,D4_33,D4_34,D4_41,D4_42,D4_43,D4_44,D5_11,D5_12,D5_13,D5_14,D5_21,D5_22,D5_23,D5_24,D5_31,D5_32,D5_33,D5_34,D5_41,D5_42,D5_43,D5_44,D6_11,D6_12,D6_13,D6_14,D6_21,D6_22,D6_23,D6_24,D6_31,D6_32,D6_33,D6_34,D6_41,D6_42,D6_43,D6_44,
Activity Metrics
