AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251004_LGI2 KD_Plate 2_D28N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,442.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,13132.000000,14039.000000,21886.000000,1.000000,0.000000,0.000000,11496.000000,13267.000000,40530.000000,1.000000,3.000000,0.000000,14375.000000,29341.000000,33841.000000,341.000000,1216.000000,0.000000,11943.000000,20621.000000,17821.000000,1.000000,3.000000,7.000000
    Mean Firing Rate (Hz),1.856900,1.985153,3.094740,0.000141,0.000000,0.000000,1.625566,1.875990,5.731052,0.000141,0.000424,0.000000,2.032664,4.148897,4.785209,0.048218,0.171946,0.000000,1.688773,2.915865,2.519938,0.000141,0.000424,0.000990
    ISI Coefficient of Variation - Avg,4.771719,4.070383,4.556271, , , ,4.513690,3.776246,5.823466, , , ,4.872098,5.650918,5.215185,1.178252,1.516822, ,4.512437,4.154617,4.160124, , , 
    Number of Active Electrodes,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,1.000000,1.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),1.980694,2.116893,3.300754, , , ,1.733635,2.001056,6.112217, , , ,2.167421,4.425490,5.103318,0.771493,2.751131, ,1.801056,3.109804,2.687632, , , 
Electrode Burst Metrics
    Number of Bursts,337.000000,507.000000,553.000000,0.000000,0.000000,0.000000,229.000000,515.000000,701.000000,0.000000,0.000000,0.000000,388.000000,541.000000,733.000000,0.000000,27.000000,0.000000,317.000000,511.000000,678.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,15.000000,15.000000,14.000000,0.000000,0.000000,0.000000,14.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,1.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.522722,0.442336,0.553683, , , ,0.582954,0.353228,0.637243, , , ,0.603662,0.652072,0.536813, ,0.211105, ,0.504052,0.460716,0.430457, , , 
    Burst Duration - Std (sec),0.288120,0.263495,0.309768, , , ,0.376876,0.213566,0.331563, , , ,0.241455,0.287170,0.288300, , , ,0.231423,0.335819,0.188364, , , 
    Number of Spikes per Burst - Avg,28.889581,20.621783,31.646517, , , ,37.940671,18.886040,54.630794, , , ,31.839965,45.348305,38.250041, ,5.629630, ,26.569120,27.839556,19.666394, , , 
