AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 1\20250922_LGI2 KD_Plate 1_D16N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,442.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2
Activity Metrics
    Number of Spikes,392.000000,225.000000,275.000000,503.000000,380.000000,125.000000,279.000000,1484.000000,565.000000,635.000000,112.000000,530.000000,632.000000,1257.000000,1393.000000,2694.000000,162.000000,194.000000,297.000000,66.000000,1012.000000,586.000000,504.000000,910.000000
    Mean Firing Rate (Hz),0.055430,0.031816,0.038886,0.071126,0.053733,0.017675,0.039451,0.209842,0.079893,0.089791,0.015837,0.074943,0.089367,0.177743,0.196974,0.380939,0.022907,0.027432,0.041997,0.009333,0.143100,0.082862,0.071267,0.128676
    ISI Coefficient of Variation - Avg,0.993100,1.000924,1.456423,1.082941,1.148740,0.770039,1.111301,1.279985,1.730252,2.299960, ,1.225715,1.792667,1.401581,1.184879,1.179511, ,0.705230,1.056702,1.183745,1.191869,1.088667,1.005217,1.221020
    Number of Active Electrodes,4.000000,3.000000,4.000000,4.000000,3.000000,1.000000,2.000000,8.000000,4.000000,2.000000,0.000000,3.000000,5.000000,5.000000,4.000000,5.000000,0.000000,1.000000,3.000000,1.000000,7.000000,4.000000,4.000000,3.000000
    Weighted Mean Firing Rate (Hz),0.200792,0.141780,0.131787,0.257353,0.230769,0.133484,0.192308,0.417704,0.270928,0.632353, ,0.376320,0.250679,0.541176,0.716063,1.180543, ,0.115385,0.187029,0.113122,0.305753,0.296380,0.239253,0.631222
Electrode Burst Metrics
    Number of Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,4.000000,0.000000,0.000000,0.000000,11.000000,12.000000,46.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec), , , , , , , ,0.190880,0.261000,0.305740, , , ,0.240656,0.267973,0.296962, , , , ,0.296960, , , 
