AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 1\20250923_LGI2 KD_Plate 1_D17N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2
Activity Metrics
    Number of Spikes,1212.000000,464.000000,402.000000,806.000000,329.000000,367.000000,284.000000,1337.000000,832.000000,669.000000,340.000000,881.000000,1653.000000,1276.000000,1718.000000,2411.000000,471.000000,541.000000,575.000000,482.000000,1615.000000,755.000000,679.000000,782.000000
    Mean Firing Rate (Hz),0.170993,0.065463,0.056716,0.113713,0.046416,0.051778,0.040068,0.188629,0.117381,0.094385,0.047968,0.124295,0.233211,0.180023,0.242381,0.340152,0.066450,0.076326,0.081123,0.068002,0.227850,0.106518,0.095796,0.110327
    ISI Coefficient of Variation - Avg,1.124267,1.359643,1.186703,2.195860,1.760116,1.575022,1.460605,1.110039,1.591564,1.588432,1.021785,1.769136,1.521562,1.287064,1.374826,1.147681,1.393352,1.320010,1.123776,1.123767,1.652217,1.245629,1.034027,1.065387
    Number of Active Electrodes,7.000000,4.000000,4.000000,5.000000,2.000000,3.000000,2.000000,9.000000,5.000000,5.000000,3.000000,2.000000,6.000000,8.000000,4.000000,8.000000,2.000000,3.000000,5.000000,2.000000,6.000000,5.000000,5.000000,7.000000
    Weighted Mean Firing Rate (Hz),0.362786,0.213883,0.200903,0.316479,0.220090,0.212190,0.181716,0.332832,0.342664,0.269977,0.188864,0.922122,0.566591,0.351016,0.928330,0.669582,0.445824,0.315275,0.214447,0.465011,0.565087,0.286682,0.267720,0.243470
Electrode Burst Metrics
    Number of Bursts,2.000000,13.000000,0.000000,24.000000,1.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,3.000000,6.000000,9.000000,35.000000,35.000000,0.000000,0.000000,0.000000,0.000000,29.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,1.000000,1.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.258520,0.320283, ,0.380915,0.485760, , , ,0.297000,0.281760, ,0.247253,0.223000,0.319138,0.317253,0.263984, , , , ,0.283193, , , 
    Burst Duration - Std (sec), , , ,0.057636, , , , , , , , ,0.136177, , , , , , , ,0.051094, , , 
    Number of Spikes per Burst - Avg,5.500000,5.384615, ,6.500000,6.000000, , , ,5.500000,6.000000, ,5.000000,5.000000,6.111111,8.028571,6.257143, , , , ,5.679487, , , 
    Number of Spikes per Burst - Std, , , ,2.121320, , , , , , , , ,0.000000, , , , , , , ,0.588767, , , 
    Mean ISI within Burst - Avg (sec),0.056126,0.073299, ,0.072951,0.097152, , , ,0.065704,0.056352, ,0.061813,0.055750,0.064373,0.044798,0.050258, , , , ,0.062026, , , 
    Mean ISI within Burst - Std (sec), , , ,0.017096, , , , , , , , ,0.034044, , , , , , , ,0.019467, , , 
    Median ISI within Burst - Avg (sec),0.060800,0.074385, ,0.072894,0.098080, , , ,0.076200,0.055360, ,0.064280,0.056747,0.064000,0.045302,0.049210, , , , ,0.061529, , , 
    Median ISI within Burst - Std (sec), , , ,0.019892, , , , , , , , ,0.033938, , , , , , , ,0.022549, , , 
    Median/Mean ISI within Burst - Avg,1.054851,1.014126, ,0.991826,1.009552, , , ,1.164698,0.982396, ,1.034492,1.025641,0.998205,0.995857,0.961068, , , , ,0.970194, , , 
    Median/Mean ISI within Burst - Std, , , ,0.043489, , , , , , , , ,0.051967, , , , , , , ,0.056247, , , 
    Inter-Burst Interval - Avg (sec),60.065840,26.699533, ,15.135644, , , , ,174.514640, , ,51.274000,87.377653,28.630470,10.015461,10.079824, , , , ,54.357587, , , 
    Inter-Burst Interval - Std (sec),0.000000,0.000000, ,0.000000, , , , ,0.000000, , ,0.000000,0.000000,0.000000,0.000000,0.000000, , , , ,58.278288, , , 
    Burst Frequency - Avg (Hz),0.004515,0.029345, ,0.027088,0.002257, , , ,0.004515,0.002257, ,0.006772,0.004515,0.020316,0.079007,0.079007, , , , ,0.021821, , , 
    Burst Frequency - Std (Hz), , , ,0.035116, , , , , , , , ,0.003910, , , , , , , ,0.031950, , , 
    IBI Coefficient of Variation - Avg, ,0.676169, ,0.848275, , , , , , , ,0.144448,1.206965,0.658334,1.191766,0.824721, , , , ,0.950090, , , 
    IBI Coefficient of Variation - Std, ,0.000000, ,0.000000, , , , , , , ,0.000000,0.000000,0.000000,0.000000,0.000000, , , , ,0.000000, , , 
    Burst Percentage - Avg,0.200950,5.952381,0.000000,5.776963,0.413223,0.000000,0.000000,0.000000,0.358774,0.465116,0.000000,0.289519,0.859307,1.925770,2.046911,1.019126,0.000000,0.000000,0.000000,0.000000,3.550905,0.000000,0.000000,0.000000
    Burst Percentage - Std,0.751886,16.835876,0.000000,20.043517,1.370506,0.000000,0.000000,0.000000,1.342408,1.470827,0.000000,0.960227,2.409039,6.671064,6.788837,3.674511,0.000000,0.000000,0.000000,0.000000,10.846917,0.000000,0.000000,0.000000
Network Burst Metrics
    Number of Network Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, , , , , , , , , , , , , , , , , , , , , , , , 
    Network Burst Duration - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Network Burst Duration - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg, , , , , , , , , , , , , , , , , , , , , , , , 
    Number of Spikes per Network Burst - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Mean ISI within Network Burst - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median ISI within Network Burst - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg, , , , , , , , , , , , , , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Number of Elecs Participating in Burst - Avg, , , , , , , , , , , , , , , , , , , , , , , , 
