AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251005_LGI2 KD_Plate 2_D29N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,15979.000000,16584.000000,24731.000000,0.000000,0.000000,0.000000,14036.000000,17042.000000,44316.000000,0.000000,2.000000,0.000000,16462.000000,38273.000000,43797.000000,3.000000,316.000000,1.000000,15194.000000,23244.000000,21280.000000,0.000000,1.000000,121.000000
    Mean Firing Rate (Hz),2.254374,2.339729,3.489137,0.000000,0.000000,0.000000,1.980248,2.404345,6.252257,0.000000,0.000282,0.000000,2.322517,5.399690,6.179035,0.000423,0.044582,0.000141,2.143623,3.279345,3.002257,0.000000,0.000141,0.017071
    ISI Coefficient of Variation - Avg,4.869179,4.400280,4.904578, , , ,4.519916,3.889265,5.544987, , , ,5.091854,5.538204,5.796265, ,1.532144, ,5.063835,4.483298,4.339447, , ,0.705476
    Number of Active Electrodes,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,1.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,2.000000
    Weighted Mean Firing Rate (Hz),2.404364,2.494056,3.721294, , , ,2.112114,2.564635,6.668774, , , ,2.472837,5.759669,6.589767, ,0.713318, ,2.285628,3.497667,3.199549, , ,0.103837
Electrode Burst Metrics
    Number of Bursts,272.000000,515.000000,580.000000,0.000000,0.000000,0.000000,225.000000,588.000000,723.000000,0.000000,0.000000,0.000000,326.000000,640.000000,752.000000,0.000000,2.000000,0.000000,292.000000,434.000000,588.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000,16.000000,15.000000,15.000000,0.000000,1.000000,0.000000,15.000000,15.000000,15.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.666148,0.490914,0.564230, , , ,0.637772,0.372664,0.637086, , , ,0.651127,0.677592,0.621974, ,0.252920, ,0.623946,0.588473,0.519806, , , 
