AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 1\20250921_LGI2 KD_Plate 1_D15N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2
Activity Metrics
    Number of Spikes,565.000000,204.000000,415.000000,467.000000,299.000000,214.000000,304.000000,826.000000,320.000000,456.000000,191.000000,278.000000,569.000000,917.000000,870.000000,1758.000000,149.000000,174.000000,116.000000,122.000000,768.000000,355.000000,448.000000,530.000000
    Mean Firing Rate (Hz),0.079712,0.028781,0.058550,0.065886,0.042184,0.030192,0.042889,0.116535,0.045147,0.064334,0.026947,0.039221,0.080277,0.129374,0.122743,0.248025,0.021021,0.024549,0.016366,0.017212,0.108352,0.050085,0.063205,0.074774
    ISI Coefficient of Variation - Avg,1.067253,1.349909,1.344685,1.108907,1.206247,0.950964,1.096097,1.133965,1.468707,1.661983,1.237450,1.130311,1.340556,1.311487,1.167627,1.277570, ,1.503309,1.702350,1.256833,1.051471,1.079022,1.195589,1.012791
    Number of Active Electrodes,4.000000,2.000000,2.000000,4.000000,4.000000,1.000000,2.000000,5.000000,3.000000,4.000000,2.000000,2.000000,6.000000,5.000000,4.000000,4.000000,0.000000,1.000000,1.000000,1.000000,5.000000,3.000000,3.000000,3.000000
    Weighted Mean Firing Rate (Hz),0.296275,0.136569,0.365688,0.212190,0.141084,0.216704,0.197517,0.338149,0.136945,0.225734,0.113995,0.224605,0.197517,0.374266,0.444131,0.956546, ,0.309255,0.085779,0.135440,0.323702,0.202408,0.282167,0.316780
Electrode Burst Metrics
    Number of Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,1.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec), , , , , , , , , ,0.276900, , , , ,0.093840,0.236465, , , , , , , , 
    Burst Duration - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Number of Spikes per Burst - Avg, , , , , , , , , ,5.250000, , , , ,5.000000,5.750000, , , , , , , , 
    Number of Spikes per Burst - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Mean ISI within Burst - Avg (sec), , , , , , , , , ,0.065965, , , , ,0.023460,0.049943, , , , , , , , 
    Mean ISI within Burst - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median ISI within Burst - Avg (sec), , , , , , , , , ,0.068400, , , , ,0.016000,0.051217, , , , , , , , 
    Median ISI within Burst - Std (sec), , , , , , , , , , , , , , , , , , , , , , , , 
    Median/Mean ISI within Burst - Avg, , , , , , , , , ,1.036300, , , , ,0.682012,1.009449, , , , , , , , 
    Median/Mean ISI within Burst - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Inter-Burst Interval - Avg (sec), , , , , , , , , ,46.729813, , , , , ,18.549835, , , , , , , , 
    Inter-Burst Interval - Std (sec), , , , , , , , , ,0.000000, , , , , ,0.000000, , , , , , , , 
    Burst Frequency - Avg (Hz), , , , , , , , , ,0.009029, , , , ,0.002257,0.036117, , , , , , , , 
    Burst Frequency - Std (Hz), , , , , , , , , , , , , , , , , , , , , , , , 
    IBI Coefficient of Variation - Avg, , , , , , , , , ,0.701357, , , , , ,0.754797, , , , , , , , 
    IBI Coefficient of Variation - Std, , , , , , , , , ,0.000000, , , , , ,0.000000, , , , , , , , 
    Burst Percentage - Avg,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.039604,0.000000,0.000000,0.000000,0.000000,0.095238,0.547326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
