AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250923_LGI2 KD_Plate 2_D17N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,1226.000000,1312.000000,1733.000000,0.000000,0.000000,3.000000,1341.000000,1144.000000,993.000000,1.000000,1.000000,0.000000,1695.000000,3525.000000,2239.000000,708.000000,4788.000000,0.000000,1131.000000,2809.000000,1725.000000,1.000000,17.000000,118.000000
    Mean Firing Rate (Hz),0.172968,0.185102,0.244498,0.000000,0.000000,0.000423,0.189193,0.161400,0.140096,0.000141,0.000141,0.000000,0.239137,0.497319,0.315886,0.099887,0.675508,0.000000,0.159565,0.396304,0.243369,0.000141,0.002398,0.016648
    ISI Coefficient of Variation - Avg,1.685433,1.262655,1.262884, , , ,1.150445,1.535175,1.302348, , , ,1.763177,1.478398,1.548287,1.241634,1.207399, ,1.290023,1.121457,1.694291, , ,0.748194
    Number of Active Electrodes,7.000000,9.000000,7.000000,0.000000,0.000000,0.000000,5.000000,4.000000,7.000000,0.000000,0.000000,0.000000,4.000000,12.000000,8.000000,1.000000,1.000000,0.000000,5.000000,8.000000,8.000000,0.000000,0.000000,1.000000
    Weighted Mean Firing Rate (Hz),0.375040,0.319288,0.540471, , , ,0.566591,0.608916,0.299903, , , ,0.908014,0.662528,0.610609,1.598194,10.805869, ,0.472686,0.779628,0.464729, , ,0.128668
Electrode Burst Metrics
    Number of Bursts,4.000000,3.000000,3.000000,0.000000,0.000000,0.000000,3.000000,6.000000,1.000000,0.000000,0.000000,0.000000,42.000000,29.000000,20.000000,6.000000,316.000000,0.000000,0.000000,32.000000,51.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,4.000000,2.000000,1.000000,1.000000,0.000000,0.000000,2.000000,4.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.247280,0.227280,0.351547, , , ,0.274613,0.248360,0.260960, , , ,0.268682,0.426828,0.400229,0.183080,0.447558, , ,0.264746,0.299919, , , 
    Burst Duration - Std (sec), , , , , , , , , , , , , ,0.279681,0.066056, , , , ,0.046078,0.059354, , , 
    Number of Spikes per Burst - Avg,5.000000,5.000000,5.666667, , , ,5.333333,6.000000,6.000000, , , ,6.333333,10.086364,6.607143,5.166667,11.332278, , ,5.213636,5.859211, , , 
    Number of Spikes per Burst - Std, , , , , , , , , , , , , ,9.281759,0.858630, , , , ,0.019285,1.067209, , , 
    Mean ISI within Burst - Avg (sec),0.061820,0.056820,0.077831, , , ,0.063153,0.049486,0.052192, , , ,0.050952,0.058811,0.070791,0.044277,0.044007, , ,0.062854,0.062916, , , 
    Mean ISI within Burst - Std (sec), , , , , , , , , , , , , ,0.018991,0.000151, , , , ,0.011358,0.012380, , , 
