AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251013_LGI2 KD_Plate 2_D37N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,447.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,54210.000000,49021.000000,84295.000000,0.000000,0.000000,13.000000,47213.000000,47494.000000,99954.000000,3.000000,2.000000,5.000000,39546.000000,73005.000000,90332.000000,8.000000,364.000000,1.000000,61320.000000,57745.000000,87984.000000,0.000000,1.000000,104.000000
    Mean Firing Rate (Hz),7.579698,6.854167,11.786214,0.000000,0.000000,0.001818,6.601370,6.640660,13.975671,0.000419,0.000280,0.000699,5.529362,10.207634,12.630313,0.001119,0.050895,0.000140,8.573826,8.073965,12.302013,0.000000,0.000140,0.014541
    ISI Coefficient of Variation - Avg,8.350980,7.420921,7.774905, , , ,7.587350,6.084667,8.179202, , , ,7.496379,7.631819,7.810153, ,1.297767, ,7.927526,8.191434,8.386539, , ,0.648984
    Number of Active Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,1.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,1.000000
    Weighted Mean Firing Rate (Hz),7.579698,6.854167,11.786214, , , ,6.601370,7.081133,13.975671, , , ,5.529362,10.886652,12.630313, ,0.814318, ,8.573826,8.073965,12.302013, , ,0.096197
Electrode Burst Metrics
    Number of Bursts,370.000000,514.000000,685.000000,0.000000,0.000000,0.000000,392.000000,798.000000,767.000000,0.000000,0.000000,0.000000,354.000000,660.000000,809.000000,1.000000,1.000000,0.000000,392.000000,435.000000,739.000000,0.000000,0.000000,4.000000
    Number of Bursting Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,1.000000,1.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,4.000000
    Burst Duration - Avg (sec),1.130246,0.882125,1.029396, , , ,0.955962,0.614641,0.995149, , , ,0.957800,0.959838,0.904252,0.013520,0.051600, ,1.110427,1.050443,1.089041, , ,0.025660
    Burst Duration - Std (sec),0.335324,0.259736,0.403074, , , ,0.379741,0.310672,0.354865, , , ,0.363445,0.298448,0.415328, , , ,0.292381,0.366814,0.423582, , ,0.000272
    Number of Spikes per Burst - Avg,141.867523,91.295079,118.291726, , , ,110.443733,56.136984,125.430806, , , ,105.690754,105.669519,106.681439,5.000000,7.000000, ,145.280300,120.154892,115.299500, , ,5.750000
    Number of Spikes per Burst - Std,64.244831,46.401823,64.862757, , , ,56.516866,43.021049,77.365418, , , ,57.351749,43.829250,73.541651, , , ,56.107551,63.290887,54.551133, , ,0.500000
    Mean ISI within Burst - Avg (sec),0.015221,0.018058,0.015617, , , ,0.017123,0.015710,0.014259, , , ,0.016969,0.015854,0.014051,0.003380,0.008600, ,0.013694,0.018195,0.015610, , ,0.005450
    Mean ISI within Burst - Std (sec),0.008588,0.009850,0.004237, , , ,0.005890,0.002543,0.004715, , , ,0.005861,0.003813,0.003678, , , ,0.002799,0.006531,0.003069, , ,0.000608
    Median ISI within Burst - Avg (sec),0.012176,0.014101,0.011663, , , ,0.013660,0.010336,0.010512, , , ,0.012793,0.011763,0.009894,0.003080,0.005920, ,0.010070,0.014529,0.011267, , ,0.004530
    Median ISI within Burst - Std (sec),0.008601,0.010490,0.004365, , , ,0.006084,0.002149,0.003754, , , ,0.005851,0.003477,0.002925, , , ,0.002090,0.006774,0.002800, , ,0.000312
    Median/Mean ISI within Burst - Avg,0.647971,0.634716,0.622910, , , ,0.653234,0.587079,0.630525, , , ,0.618478,0.622479,0.610280,0.911243,0.688372, ,0.623432,0.651173,0.604990, , ,0.837214
    Median/Mean ISI within Burst - Std,0.061008,0.068006,0.048283, , , ,0.064273,0.054566,0.060088, , , ,0.062534,0.040553,0.049046, , , ,0.031772,0.072405,0.043587, , ,0.092419
    Inter-Burst Interval - Avg (sec),16.880718,12.118835,8.617296, , , ,14.991227,6.877796,8.681390, , , ,16.414432,8.114831,10.477651, , , ,14.882634,14.993672,7.918138, , , 
    Inter-Burst Interval - Std (sec),3.731970,2.317845,1.194251, , , ,3.481421,0.672310,5.304436, , , ,3.262899,0.621375,14.753767, , , ,2.075914,9.466429,0.551029, , , 
    Burst Frequency - Avg (Hz),0.051734,0.071868,0.095777, , , ,0.054810,0.119016,0.107243, , , ,0.049497,0.098434,0.113115,0.002237,0.002237, ,0.054810,0.060822,0.103328, , ,0.002237
