AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250927_LGI2 KD_Plate 2_D21N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,444.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,3462.000000,2577.000000,2824.000000,0.000000,1.000000,0.000000,2401.000000,2044.000000,2752.000000,0.000000,0.000000,1.000000,3495.000000,4681.000000,2705.000000,301.000000,73.000000,0.000000,2380.000000,4625.000000,3087.000000,1.000000,0.000000,73.000000
    Mean Firing Rate (Hz),0.487331,0.362753,0.397523,0.000000,0.000141,0.000000,0.337979,0.287725,0.387387,0.000000,0.000000,0.000141,0.491976,0.658925,0.380771,0.042370,0.010276,0.000000,0.335023,0.651042,0.434544,0.000141,0.000000,0.010276
    ISI Coefficient of Variation - Avg,2.108113,1.504252,2.055709, , , ,2.215069,1.611801,1.628770, , , ,2.837254,2.012214,1.956700,1.043832,1.300517, ,1.937558,1.712396,2.127478, , ,0.734590
    Number of Active Electrodes,12.000000,12.000000,11.000000,0.000000,0.000000,0.000000,8.000000,9.000000,12.000000,0.000000,0.000000,0.000000,8.000000,12.000000,11.000000,1.000000,1.000000,0.000000,10.000000,11.000000,11.000000,0.000000,0.000000,1.000000
    Weighted Mean Firing Rate (Hz),0.642455,0.474662,0.572891, , , ,0.648930,0.491992,0.511824, , , ,0.966216,0.873123,0.545045,0.673423,0.164414, ,0.517342,0.934480,0.613227, , ,0.087838
Electrode Burst Metrics
    Number of Bursts,67.000000,27.000000,52.000000,0.000000,0.000000,0.000000,42.000000,18.000000,28.000000,0.000000,0.000000,0.000000,135.000000,126.000000,57.000000,0.000000,0.000000,0.000000,48.000000,89.000000,59.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,7.000000,5.000000,6.000000,0.000000,0.000000,0.000000,5.000000,3.000000,5.000000,0.000000,0.000000,0.000000,8.000000,10.000000,9.000000,0.000000,0.000000,0.000000,6.000000,6.000000,4.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.360145,0.272892,0.290373, , , ,0.329760,0.286679,0.294962, , , ,0.313741,0.325243,0.259654, , , ,0.335130,0.294572,0.446598, , , 
    Burst Duration - Std (sec),0.113684,0.036041,0.082443, , , ,0.093686,0.028840,0.090708, , , ,0.111524,0.156955,0.049302, , , ,0.077103,0.060621,0.173863, , , 
    Number of Spikes per Burst - Avg,8.324618,5.842857,6.429924, , , ,7.546667,6.848485,7.673333, , , ,6.860615,7.666176,6.739815, , , ,7.354167,6.972491,9.712284, , , 
    Number of Spikes per Burst - Std,4.870304,0.742994,1.345788, , , ,2.756266,1.877076,2.748980, , , ,1.768760,2.400118,2.177807, , , ,1.685261,1.119355,5.783506, , , 
    Mean ISI within Burst - Avg (sec),0.058126,0.056816,0.053949, , , ,0.054302,0.051718,0.046118, , , ,0.053824,0.048623,0.048117, , , ,0.054169,0.051591,0.059927, , , 
    Mean ISI within Burst - Std (sec),0.015607,0.008426,0.008410, , , ,0.008692,0.012234,0.007072, , , ,0.006535,0.010309,0.010434, , , ,0.010168,0.010493,0.017214, , , 
    Median ISI within Burst - Avg (sec),0.057209,0.056795,0.055686, , , ,0.056535,0.051644,0.043712, , , ,0.054338,0.048703,0.048330, , , ,0.054330,0.051745,0.063025, , , 
    Median ISI within Burst - Std (sec),0.016955,0.014427,0.009587, , , ,0.011718,0.014684,0.009441, , , ,0.006989,0.014126,0.012443, , , ,0.016015,0.012338,0.022897, , , 
    Median/Mean ISI within Burst - Avg,0.970885,0.985769,1.023370, , , ,1.027447,0.989331,0.936636, , , ,1.003313,0.979741,0.981218, , , ,0.981015,0.983965,1.030138, , , 
    Median/Mean ISI within Burst - Std,0.060522,0.181306,0.062511, , , ,0.100670,0.062602,0.090656, , , ,0.049703,0.101506,0.062621, , , ,0.113509,0.048974,0.099919, , , 
    Inter-Burst Interval - Avg (sec),66.786815,86.479403,35.544478, , , ,63.271535,43.390560,51.211007, , , ,50.910998,47.217260,58.855683, , , ,37.818993,29.220892,19.774546, , , 
    Inter-Burst Interval - Std (sec),94.036411,110.369635,14.745689, , , ,64.261365,14.024654,26.715945, , , ,61.214892,53.772146,66.891804, , , ,13.854262,14.256191,8.226447, , , 
    Burst Frequency - Avg (Hz),0.021557,0.012162,0.019520, , , ,0.018919,0.013514,0.012613, , , ,0.038007,0.028378,0.014264, , , ,0.018018,0.033408,0.033221, , , 
    Burst Frequency - Std (Hz),0.020055,0.019673,0.014005, , , ,0.016597,0.011261,0.012899, , , ,0.041257,0.022553,0.010198, , , ,0.013884,0.017643,0.025901, , , 
    IBI Coefficient of Variation - Avg,0.529326,0.618362,0.519749, , , ,0.877140,0.590257,0.735901, , , ,0.725110,0.640877,0.640272, , , ,0.582319,0.703431,0.740190, , , 
    IBI Coefficient of Variation - Std,0.402423,0.000000,0.164985, , , ,0.416494,0.224922,0.194508, , , ,0.298422,0.201644,0.361490, , , ,0.311282,0.199044,0.157973, , , 
    Burst Percentage - Avg,9.465173,2.551974,8.228339, ,0.000000, ,6.253962,2.313678,4.701697, , ,0.000000,13.821504,14.865358,9.894793,0.000000,0.000000, ,7.981009,7.732495,8.695351,0.000000, ,0.000000
    Burst Percentage - Std,14.645410,6.320005,14.688152, , , ,11.677946,5.653289,10.941969, , , ,16.843234,19.212505,12.683593,0.000000, , ,13.893959,10.377236,22.389407, , ,0.000000
Network Burst Metrics
