AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 1\20250919_LGI2 KD_Plate 1_D13N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2
Activity Metrics
    Number of Spikes,420.000000,188.000000,217.000000,86.000000,162.000000,357.000000,176.000000,681.000000,267.000000,173.000000,294.000000,239.000000,205.000000,392.000000,522.000000,1042.000000,63.000000,154.000000,104.000000,56.000000,364.000000,139.000000,646.000000,317.000000
    Mean Firing Rate (Hz),0.059255,0.026524,0.030615,0.012133,0.022856,0.050367,0.024831,0.096078,0.037669,0.024407,0.041479,0.033719,0.028922,0.055305,0.073646,0.147009,0.008888,0.021727,0.014673,0.007901,0.051354,0.019611,0.091140,0.044723
    ISI Coefficient of Variation - Avg,1.224982,1.188069,1.112253, ,1.052391,1.194514,1.572088,1.547744,1.258225,2.228964,1.531828,1.922503,1.244758,1.268484,1.167717,1.276994, ,1.414091, , ,1.470120, ,1.523672,1.397325
    Number of Active Electrodes,4.000000,1.000000,2.000000,0.000000,2.000000,2.000000,2.000000,5.000000,4.000000,2.000000,3.000000,3.000000,2.000000,4.000000,4.000000,5.000000,0.000000,1.000000,0.000000,0.000000,3.000000,0.000000,2.000000,2.000000
    Weighted Mean Firing Rate (Hz),0.219526,0.255079,0.189616, ,0.117381,0.349887,0.118510,0.297065,0.104402,0.174944,0.174567,0.160271,0.144470,0.172122,0.275959,0.454176, ,0.264108, , ,0.226486, ,0.648984,0.262980
Electrode Burst Metrics
    Number of Bursts,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,2.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
    Number of Bursting Electrodes,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
    Burst Duration - Avg (sec), ,0.301920, , , , , ,0.294570, , ,0.267940, , , ,0.178560,0.207733, , , , , , ,0.277840, 
