AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250926_LGI2 KD_Plate 2_D20N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,444.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,3237.000000,3187.000000,2355.000000,0.000000,0.000000,1.000000,2246.000000,2393.000000,2104.000000,0.000000,0.000000,0.000000,3036.000000,6773.000000,2384.000000,229.000000,198.000000,0.000000,2514.000000,3890.000000,2801.000000,1.000000,0.000000,46.000000
    Mean Firing Rate (Hz),0.455659,0.448620,0.331503,0.000000,0.000000,0.000141,0.316160,0.336852,0.296171,0.000000,0.000000,0.000000,0.427365,0.953407,0.335586,0.032235,0.027872,0.000000,0.353885,0.547579,0.394285,0.000141,0.000000,0.006475
    ISI Coefficient of Variation - Avg,2.079228,1.645471,1.993886, , , ,1.953826,1.456646,1.458846, , , ,2.738306,2.117178,1.883916,1.310034,0.997281, ,2.070845,1.485691,1.699799, , , 
    Number of Active Electrodes,11.000000,13.000000,10.000000,0.000000,0.000000,0.000000,8.000000,10.000000,11.000000,0.000000,0.000000,0.000000,8.000000,12.000000,10.000000,1.000000,1.000000,0.000000,9.000000,10.000000,12.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),0.655815,0.547297,0.522748, , , ,0.614302,0.534910,0.424857, , , ,0.833896,1.268018,0.519820,0.515766,0.441441, ,0.602603,0.860811,0.517643, , , 
Electrode Burst Metrics
    Number of Bursts,92.000000,70.000000,40.000000,0.000000,0.000000,0.000000,32.000000,41.000000,32.000000,0.000000,0.000000,0.000000,118.000000,293.000000,35.000000,0.000000,0.000000,0.000000,44.000000,40.000000,39.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,6.000000,4.000000,4.000000,0.000000,0.000000,0.000000,4.000000,3.000000,3.000000,0.000000,0.000000,0.000000,6.000000,9.000000,4.000000,0.000000,0.000000,0.000000,6.000000,7.000000,4.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec),0.378621,0.286624,0.289503, , , ,0.256108,0.261473,0.271099, , , ,0.391130,0.309201,0.229084, , , ,0.296159,0.257130,0.306209, , , 
    Burst Duration - Std (sec),0.189950,0.064378,0.034790, , , ,0.084699,0.015164,0.138878, , , ,0.108557,0.114653,0.044905, , , ,0.086013,0.026406,0.203680, , , 
    Number of Spikes per Burst - Avg,7.847658,6.208333,5.707860, , , ,6.607143,6.160131,7.066667, , , ,8.174902,7.749823,6.493873, , , ,6.956784,5.871032,8.611364, , , 
    Number of Spikes per Burst - Std,3.443458,2.096624,0.504870, , , ,2.324449,0.592820,3.579572, , , ,2.185602,2.949096,1.406737, , , ,1.510409,1.217444,6.323925, , , 
