AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 1\20250920_LGI2 KD_Plate 1_D14N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2
Activity Metrics
    Number of Spikes,375.000000,168.000000,365.000000,69.000000,193.000000,202.000000,365.000000,989.000000,516.000000,199.000000,279.000000,298.000000,424.000000,523.000000,639.000000,1647.000000,64.000000,205.000000,216.000000,43.000000,722.000000,185.000000,196.000000,428.000000
    Mean Firing Rate (Hz),0.052906,0.023702,0.051495,0.009735,0.027229,0.028499,0.051495,0.139532,0.072799,0.028076,0.039362,0.042043,0.059819,0.073787,0.090152,0.232365,0.009029,0.028922,0.030474,0.006067,0.101862,0.026100,0.027652,0.060384
    ISI Coefficient of Variation - Avg,1.259840,1.464542,1.192799, ,1.064996,1.053464,1.443597,1.809896,1.515682,2.040145,1.332597,1.461463,1.211700,1.328496,1.247799,1.331920, ,1.161172,1.259653, ,1.322322,1.058445,0.922984,1.167176
    Number of Active Electrodes,3.000000,1.000000,4.000000,0.000000,2.000000,2.000000,4.000000,4.000000,6.000000,2.000000,3.000000,3.000000,3.000000,4.000000,2.000000,4.000000,0.000000,2.000000,2.000000,0.000000,7.000000,2.000000,1.000000,3.000000
    Weighted Mean Firing Rate (Hz),0.252822,0.212190,0.176637, ,0.142212,0.177201,0.177765,0.510722,0.173439,0.174944,0.144470,0.167795,0.240783,0.265801,0.617381,0.876975, ,0.196388,0.138826, ,0.222509,0.095937,0.198646,0.292701
Electrode Burst Metrics
    Number of Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,3.000000,22.000000,0.000000,0.000000,0.000000,0.000000,13.000000,0.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Burst Duration - Avg (sec), , , , , , , ,0.306651, , , ,0.297680, , ,0.353040,0.322425, , , , ,0.420603, , , 
    Burst Duration - Std (sec), , , , , , , ,0.032026, , , , , , , , , , , , , , , , 
    Number of Spikes per Burst - Avg, , , , , , , ,6.000000, , , ,5.000000, , ,6.333333,6.409091, , , , ,8.307692, , , 
    Number of Spikes per Burst - Std, , , , , , , ,0.000000, , , , , , , , , , , , , , , , 
    Mean ISI within Burst - Avg (sec), , , , , , , ,0.061606, , , ,0.074420, , ,0.066154,0.059379, , , , ,0.057799, , , 
    Mean ISI within Burst - Std (sec), , , , , , , ,0.005769, , , , , , , , , , , , , , , , 
