AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20251015_LGI2 KD_Plate 2_D39N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,440.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
Activity Metrics
    Number of Spikes,55300.000000,50606.000000,88898.000000,6.000000,0.000000,32.000000,45167.000000,41763.000000,80947.000000,2.000000,0.000000,7.000000,45414.000000,61588.000000,73004.000000,8.000000,56.000000,5.000000,52043.000000,57920.000000,82291.000000,2.000000,1.000000,65.000000
    Mean Firing Rate (Hz),7.855114,7.188352,12.627557,0.000852,0.000000,0.004545,6.415767,5.932244,11.498153,0.000284,0.000000,0.000994,6.450852,8.748295,10.369886,0.001136,0.007955,0.000710,7.392472,8.227273,11.689063,0.000284,0.000142,0.009233
    ISI Coefficient of Variation - Avg,9.171097,8.727567,9.023420, , , ,9.034363,6.811081,9.012834, , , ,8.529692,8.894534,8.869633, ,1.518556, ,9.414238,8.175624,9.238383, , , 
    Number of Active Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,1.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz),7.855114,7.188352,12.627557, , , ,6.415767,6.324697,11.498153, , , ,6.450852,9.329091,10.369886, ,0.127273, ,7.392472,8.227273,11.689062, , , 
Electrode Burst Metrics
    Number of Bursts,326.000000,412.000000,589.000000,0.000000,0.000000,0.000000,301.000000,581.000000,540.000000,0.000000,0.000000,0.000000,343.000000,463.000000,515.000000,1.000000,2.000000,0.000000,276.000000,355.000000,573.000000,0.000000,0.000000,6.000000
    Number of Bursting Electrodes,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,0.000000,0.000000,0.000000,16.000000,15.000000,16.000000,1.000000,1.000000,0.000000,16.000000,16.000000,16.000000,0.000000,0.000000,5.000000
    Burst Duration - Avg (sec),1.281302,1.046977,1.152406, , , ,1.066337,0.713621,1.103530, , , ,1.051790,1.102389,1.044021,0.019840,0.049040, ,1.182087,1.273600,1.094498, , ,0.023680
