AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 1\20251002_LGI2 KD_Plate 1_D26N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,441.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2
Activity Metrics
    Number of Spikes,7201.000000,4070.000000,10129.000000,9131.000000,15670.000000,18499.000000,10056.000000,16321.000000,22627.000000,11981.000000,28165.000000,13356.000000,10338.000000,11688.000000,22909.000000,24258.000000,39527.000000,12400.000000,10046.000000,6337.000000,15217.000000,13464.000000,38284.000000,30598.000000
    Mean Firing Rate (Hz),1.020550,0.576814,1.435516,1.294076,2.220805,2.621740,1.425170,2.313067,3.206774,1.697988,3.991638,1.892857,1.465136,1.656463,3.246740,3.437925,5.601899,1.757370,1.423753,0.898101,2.156604,1.908163,5.425737,4.336451
    ISI Coefficient of Variation - Avg,3.697801,2.689261,3.686950,4.596902,4.490823,4.596583,5.607689,4.556994,5.538883,5.797817,5.913917,3.901738,4.592305,4.340252,6.304432,6.546718,6.579459,3.760895,4.871892,3.801176,4.535024,4.835730,6.818838,5.545839
    Number of Active Electrodes,15.000000,12.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,13.000000,15.000000,15.000000,15.000000,15.000000,14.000000,15.000000,15.000000,15.000000,15.000000,14.000000,15.000000,15.000000,15.000000,15.000000
    Weighted Mean Firing Rate (Hz),1.088587,0.757559,1.531217,1.380348,2.368859,2.796523,1.519879,2.467120,3.420559,2.088784,4.256689,2.018292,1.562358,1.766893,3.710075,3.667120,5.973998,1.874528,1.518670,1.024943,2.300227,2.035374,5.787453,4.625397
Electrode Burst Metrics
    Number of Bursts,188.000000,162.000000,316.000000,254.000000,496.000000,553.000000,162.000000,315.000000,442.000000,237.000000,506.000000,490.000000,159.000000,354.000000,423.000000,354.000000,655.000000,471.000000,199.000000,252.000000,358.000000,244.000000,513.000000,483.000000
    Number of Bursting Electrodes,14.000000,11.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,15.000000,13.000000,15.000000,15.000000,15.000000,15.000000,14.000000,14.000000,15.000000,15.000000,15.000000,14.000000,15.000000,15.000000,15.000000,15.000000
    Burst Duration - Avg (sec),0.474435,0.232953,0.380011,0.442055,0.438807,0.517761,0.672917,0.610643,0.564833,0.654785,0.650721,0.399403,0.599827,0.463685,0.641859,0.767546,0.723247,0.357050,0.583964,0.317656,0.507030,0.623296,0.761197,0.597644
    Burst Duration - Std (sec),0.225738,0.197714,0.213493,0.248302,0.253025,0.198851,0.333922,0.339580,0.411534,0.181948,0.293382,0.270471,0.277548,0.255772,0.364164,0.283135,0.279612,0.189842,0.258983,0.189425,0.261279,0.281367,0.277320,0.383266
    Number of Spikes per Burst - Avg,23.973679,10.112647,19.046210,24.928130,22.674409,26.322886,49.591079,41.187389,45.992409,42.819166,49.916527,19.158605,45.590726,24.634668,51.524543,60.912525,57.487845,18.280168,39.187516,17.207935,33.303877,43.713574,68.769211,50.634947
    Number of Spikes per Burst - Std,12.585724,7.346463,13.015618,17.956296,15.227463,16.859618,32.763623,32.893011,53.465415,20.492255,35.128784,15.094214,30.497581,20.278980,57.930117,35.178904,40.812030,11.330727,23.770008,13.397486,24.952520,29.501891,42.852152,48.609921
