AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 1\20251010_LGI2 KD_Plate 1_D34N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2
Activity Metrics
    Number of Spikes,37300.000000,23788.000000,42173.000000,42801.000000,60784.000000,66655.000000,39667.000000,43083.000000,57526.000000,36472.000000,71899.000000,50254.000000,38913.000000,35019.000000,59212.000000,48304.000000,75352.000000,56572.000000,44746.000000,29398.000000,45447.000000,46135.000000,83312.000000,84692.000000
    Mean Firing Rate (Hz),5.262415,3.356095,5.949915,6.038516,8.575621,9.403922,5.596360,6.078301,8.115971,5.145598,10.143764,7.090011,5.489983,4.940604,8.353837,6.814898,10.630926,7.981377,6.312923,4.147573,6.411823,6.508888,11.753950,11.948646
    ISI Coefficient of Variation - Avg,8.788649,6.202675,7.356461,9.346084,8.191835,9.479425,9.448107,7.678910,8.983648,7.186731,8.725159,8.053578,8.499809,7.354242,8.669471,8.986593,8.958360,8.753576,8.856577,7.475803,7.771431,9.865820,9.710585,9.767229
    Number of Active Electrodes,16.000000,15.000000,15.000000,15.000000,16.000000,15.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000,15.000000,15.000000,15.000000,16.000000,15.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000
    Weighted Mean Firing Rate (Hz),5.262415,3.579383,6.343416,6.441084,8.575621,10.030549,5.596360,6.078301,8.653424,5.145598,10.143764,7.090011,5.489983,5.269074,8.910760,7.264560,10.630926,8.513168,6.312923,4.423476,6.411823,6.508888,11.753950,11.948646
Electrode Burst Metrics
    Number of Bursts,289.000000,403.000000,472.000000,331.000000,514.000000,514.000000,292.000000,424.000000,487.000000,322.000000,567.000000,558.000000,305.000000,485.000000,478.000000,363.000000,599.000000,526.000000,274.000000,382.000000,472.000000,320.000000,449.000000,568.000000
    Number of Bursting Electrodes,16.000000,15.000000,15.000000,15.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,15.000000,15.000000,15.000000,16.000000,15.000000,16.000000,15.000000,15.000000,16.000000,16.000000,16.000000
    Burst Duration - Avg (sec),1.048941,0.641716,0.856460,1.090585,1.026904,1.028199,1.046949,0.857994,0.946067,0.945958,1.028386,0.864219,1.071930,0.773142,1.012739,1.074276,1.025948,1.018378,1.126555,0.762436,0.933052,1.163330,1.191029,1.071259
    Burst Duration - Std (sec),0.315057,0.316304,0.312582,0.301933,0.319312,0.184715,0.317688,0.324687,0.427485,0.489733,0.348397,0.352426,0.366012,0.213590,0.394058,0.273768,0.334520,0.259216,0.341660,0.260542,0.263944,0.262324,0.340621,0.374122
    Number of Spikes per Burst - Avg,116.675037,50.943794,85.250511,129.864530,111.995840,127.385108,128.093753,92.123269,111.184222,101.280574,123.587289,85.757553,121.891503,68.447289,115.948572,128.465405,122.384760,103.397025,152.516896,72.728802,93.033398,139.940475,169.847506,145.379252
    Number of Spikes per Burst - Std,48.595419,31.245322,49.881161,57.048589,55.957419,51.082522,52.425352,56.906554,67.327680,59.854605,62.156229,41.866245,62.661310,31.544082,73.106905,49.365049,58.222736,32.691855,66.633418,40.414936,46.749345,56.108538,64.843199,80.618665
    Mean ISI within Burst - Avg (sec),0.015671,0.018680,0.017308,0.014210,0.017737,0.013690,0.015033,0.016668,0.014603,0.017326,0.015670,0.015139,0.018450,0.019759,0.015776,0.015077,0.016136,0.015627,0.012434,0.016907,0.016539,0.015226,0.011959,0.012579
    Mean ISI within Burst - Std (sec),0.004354,0.003840,0.005459,0.005852,0.007919,0.003984,0.004890,0.004933,0.004366,0.007415,0.003877,0.002880,0.009646,0.006059,0.004434,0.005700,0.003844,0.002365,0.003237,0.003129,0.006661,0.007581,0.003570,0.005109
    Median ISI within Burst - Avg (sec),0.012088,0.013465,0.012893,0.010635,0.014133,0.010018,0.011440,0.011767,0.010853,0.013150,0.012123,0.010284,0.014585,0.015202,0.011995,0.011532,0.012153,0.011007,0.008982,0.012235,0.011743,0.011542,0.009279,0.009045
    Median ISI within Burst - Std (sec),0.004173,0.004471,0.005615,0.005366,0.007905,0.003687,0.004870,0.003934,0.003520,0.007762,0.003507,0.003007,0.009144,0.006743,0.003763,0.005674,0.003837,0.002152,0.003027,0.002709,0.005812,0.008265,0.003480,0.004441
    Median/Mean ISI within Burst - Avg,0.637636,0.630192,0.621725,0.633977,0.650882,0.622262,0.635534,0.613479,0.633539,0.629497,0.637410,0.590337,0.638280,0.628071,0.635643,0.625888,0.624664,0.597793,0.624835,0.623486,0.605719,0.613624,0.654887,0.629843
    Median/Mean ISI within Burst - Std,0.063033,0.073724,0.054740,0.052963,0.063149,0.034554,0.055593,0.042195,0.139515,0.060631,0.042157,0.057087,0.058000,0.064372,0.106629,0.051147,0.037831,0.026737,0.043191,0.028706,0.036217,0.067119,0.111786,0.071500
    Inter-Burst Interval - Avg (sec),21.944736,13.369746,11.435976,16.625360,16.602125,10.743723,20.342428,16.836244,10.996882,21.652057,10.193711,10.431666,20.361010,10.926143,10.589002,15.321972,9.712583,10.294413,21.403477,13.639124,11.177427,17.518746,23.898039,10.660902
    Inter-Burst Interval - Std (sec),9.813754,2.399741,1.460450,2.683887,22.790949,1.093377,2.414534,16.968953,0.855453,18.418566,1.150535,1.130751,4.461343,1.737616,1.124307,2.125430,1.845590,0.675105,4.806979,1.479053,1.103990,2.531939,47.467669,3.022340
    Burst Frequency - Avg (Hz),0.040773,0.060647,0.071031,0.049812,0.072517,0.077351,0.041196,0.059819,0.068708,0.045429,0.079994,0.078725,0.043030,0.072987,0.071934,0.054628,0.084509,0.079157,0.038657,0.057487,0.071031,0.045147,0.063347,0.080135
    Burst Frequency - Std (Hz),0.008262,0.011218,0.009024,0.010431,0.023788,0.007461,0.004771,0.014973,0.018541,0.016503,0.008405,0.008113,0.010178,0.015183,0.020634,0.007448,0.012715,0.005222,0.006741,0.005964,0.007529,0.007732,0.016942,0.015683
    IBI Coefficient of Variation - Avg,0.504249,0.458248,0.457550,0.485863,0.493733,0.420177,0.471646,0.492717,0.466552,0.492244,0.463354,0.408890,0.532829,0.570590,0.461720,0.477327,0.500830,0.459891,0.408034,0.500180,0.465811,0.459054,0.384905,0.372605
    IBI Coefficient of Variation - Std,0.167362,0.226692,0.160731,0.192220,0.156971,0.125578,0.143994,0.105660,0.094305,0.245273,0.104979,0.121356,0.248462,0.135758,0.127218,0.151535,0.103333,0.067067,0.140429,0.129237,0.100828,0.166545,0.123729,0.179808
    Burst Percentage - Avg,91.346140,82.961757,86.950558,95.623101,90.827966,90.112725,95.315388,88.803325,91.383661,87.721385,95.698901,94.769250,92.044658,87.434966,90.638929,89.157361,95.918896,89.759730,93.102703,86.755116,88.526472,94.943919,91.826199,95.005640
    Burst Percentage - Std,9.148438,22.659333,23.672861,1.929425,15.863771,24.159659,2.855514,17.031654,18.934068,17.907702,3.487889,3.284118,4.235714,23.462781,22.609179,23.902047,4.127685,23.997178,9.048616,23.598713,23.828012,3.273836,21.136435,9.777273
Network Burst Metrics
    Number of Network Bursts,15.000000,21.000000,25.000000,17.000000,25.000000,28.000000,16.000000,22.000000,26.000000,16.000000,28.000000,29.000000,15.000000,23.000000,27.000000,19.000000,29.000000,28.000000,15.000000,20.000000,25.000000,16.000000,25.000000,31.000000
    Network Burst Frequency,0.033860,0.047404,0.056433,0.038375,0.056433,0.063205,0.036117,0.049661,0.058691,0.036117,0.063205,0.065463,0.033860,0.051919,0.060948,0.042889,0.065463,0.063205,0.033860,0.045147,0.056433,0.036117,0.056433,0.069977
    Network Burst Duration - Avg (sec),2.610608,2.586385,2.427203,3.146485,2.910278,2.214671,2.361075,2.462978,2.194480,3.747115,2.423777,2.226414,3.065040,2.312372,2.225301,2.655440,2.389663,2.418914,2.368165,2.124632,2.418768,3.415965,2.649302,2.218857
    Network Burst Duration - Std (sec),0.213675,0.276746,0.197103,0.410239,0.332983,0.342574,0.758185,0.219468,0.128589,0.343589,0.320650,0.176672,0.767640,0.253033,0.134604,0.616892,0.222543,0.153897,0.329484,0.193352,0.227921,0.331371,0.205707,0.171418
    Number of Spikes per Network Burst - Avg,2386.666667,1091.904762,1652.680000,2462.294118,2371.600000,2347.571429,2420.062500,1896.318182,2188.576923,2191.375000,2537.714286,1718.931034,2487.200000,1484.913043,2167.444444,2495.526316,2570.689655,1994.500000,2890.200000,1430.800000,1791.560000,2823.812500,3291.760000,2714.903226
    Number of Spikes per Network Burst - Std,72.234407,26.593053,32.788108,43.222917,44.543050,118.978501,902.122273,48.218142,53.533670,48.078928,127.649363,39.041124,676.009319,29.637067,51.336996,447.751961,48.849699,38.283059,70.498430,37.130779,30.547886,62.217060,61.555043,61.692979
