AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 1\20251001_LGI2 KD_Plate 1_D25N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2,SCRM_Batch 1,LGI2 KD4_Batch 1,LGI2 KD5_Batch 1,SCRM_Batch 2,LGI2 KD4_Batch 2,LGI2 KD5_Batch 2
Activity Metrics
    Number of Spikes,5222.000000,3270.000000,5921.000000,4964.000000,11469.000000,13976.000000,8616.000000,11726.000000,14845.000000,8424.000000,19289.000000,9468.000000,9189.000000,9426.000000,17371.000000,17129.000000,24658.000000,7166.000000,7936.000000,4600.000000,11720.000000,10529.000000,30191.000000,26769.000000
    Mean Firing Rate (Hz),0.736738,0.461343,0.835356,0.700339,1.618087,1.971783,1.215576,1.654345,2.094385,1.188488,2.721360,1.335779,1.296416,1.329853,2.450762,2.416620,3.478837,1.011005,1.119639,0.648984,1.653499,1.485468,4.259453,3.776665
    ISI Coefficient of Variation - Avg,3.304912,2.075466,3.213464,3.645202,3.654684,3.797289,4.529656,3.597417,4.194295,4.920652,4.704349,3.243475,4.491956,3.689153,5.151600,5.642579,5.646141,2.890659,4.149198,3.177085,4.149163,4.311032,5.951116,4.786481
    Number of Active Electrodes,13.000000,12.000000,11.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,13.000000,15.000000,15.000000,15.000000,15.000000,14.000000,15.000000,15.000000,15.000000,14.000000,14.000000,15.000000,15.000000,15.000000,15.000000
    Weighted Mean Firing Rate (Hz),0.895989,0.601392,1.201313,0.747028,1.725959,2.103236,1.296464,1.764635,2.234011,1.462407,2.902634,1.424680,1.382694,1.418510,2.800871,2.577728,3.710459,1.078405,1.276362,0.741051,1.763732,1.583446,4.543416,4.028442
Electrode Burst Metrics
    Number of Bursts,172.000000,117.000000,225.000000,195.000000,454.000000,538.000000,172.000000,290.000000,316.000000,236.000000,504.000000,327.000000,178.000000,311.000000,425.000000,333.000000,552.000000,336.000000,199.000000,207.000000,349.000000,307.000000,529.000000,455.000000
    Number of Bursting Electrodes,13.000000,9.000000,11.000000,14.000000,13.000000,14.000000,15.000000,13.000000,15.000000,13.000000,15.000000,12.000000,15.000000,15.000000,14.000000,14.000000,15.000000,12.000000,14.000000,13.000000,15.000000,15.000000,15.000000,14.000000
    Burst Duration - Avg (sec),0.373587,0.232529,0.310883,0.360074,0.393092,0.424086,0.626330,0.507471,0.471579,0.542158,0.508945,0.429914,0.586572,0.388043,0.473068,0.684093,0.577612,0.315171,0.528493,0.265306,0.446793,0.536169,0.658297,0.568595
    Burst Duration - Std (sec),0.123947,0.152263,0.137875,0.198177,0.272960,0.193121,0.333735,0.295831,0.339238,0.258432,0.284878,0.315471,0.268644,0.289469,0.336616,0.384426,0.321133,0.132051,0.206896,0.141852,0.234859,0.311886,0.336475,0.400112
    Number of Spikes per Burst - Avg,14.549940,8.660939,12.896521,14.493400,15.791335,18.414762,35.212398,28.721927,31.762982,28.478525,31.644947,17.255165,34.648555,16.473253,34.321442,44.472970,39.942526,12.285716,26.454648,11.536751,22.637204,26.720279,51.490757,48.157909
