AxIS Spike File,C:\Users\zzh20\OneDrive - University of Cambridge\Deane Lab\Experiment data\20250625_MEA_LGI2 KD neurons\Plate 2\20250930_LGI2 KD_Plate 2_D24N(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,443.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,,SCRM_Batch 3,LGI2 KD4_Batch 3,LGI2 KD5_Batch 3,,,
    Burst Percentage - Std,22.388515,23.508494,31.822047, , , ,32.774566,32.624321,31.280493, , , ,24.875182,29.723946,33.916633, , , ,26.966594,30.566435,31.040319, , ,0.000000
Network Burst Metrics
    Number of Network Bursts,14.000000,22.000000,26.000000,0.000000,0.000000,0.000000,14.000000,25.000000,29.000000,0.000000,0.000000,0.000000,13.000000,24.000000,27.000000,0.000000,0.000000,0.000000,15.000000,23.000000,27.000000,0.000000,0.000000,0.000000
    Network Burst Frequency,0.031603,0.049661,0.058691, , , ,0.031603,0.056433,0.065463, , , ,0.029345,0.054176,0.060948, , , ,0.033860,0.051919,0.060948, , , 
    Network Burst Duration - Avg (sec),2.330657,1.999767,1.780108, , , ,2.105931,1.737158,1.648549, , , ,2.969132,2.303657,1.627526, , , ,1.807893,2.067169,1.848409, , , 
    Network Burst Duration - Std (sec),0.405178,0.375775,0.357739, , , ,0.405541,0.269586,0.310381, , , ,0.595734,0.255982,0.206223, , , ,0.326945,0.361540,0.355874, , , 
    Number of Spikes per Network Burst - Avg,250.928571,179.090909,189.923077, , , ,227.857143,151.800000,268.379310, , , ,312.230769,544.208333,330.074074, , , ,218.800000,321.826087,198.259259, , , 
    Number of Spikes per Network Burst - Std,27.871861,19.086043,22.380211, , , ,23.592232,11.881358,33.119280, , , ,42.144897,29.299027,43.801059, , , ,24.542092,23.080200,31.300765, , , 
    Mean ISI within Network Burst - Avg (sec),0.009419,0.011380,0.009537, , , ,0.009316,0.011533,0.006234, , , ,0.009599,0.004251,0.005012, , , ,0.008436,0.006458,0.009839, , , 
    Mean ISI within Network Burst - Std (sec),0.001926,0.002524,0.002076, , , ,0.001619,0.001646,0.001263, , , ,0.001771,0.000518,0.000840, , , ,0.002012,0.001125,0.004374, , , 
    Median ISI within Network Burst - Avg (sec),0.004146,0.005971,0.004469, , , ,0.004343,0.006184,0.002720, , , ,0.004532,0.001745,0.002163, , , ,0.003904,0.002929,0.005221, , , 
    Median ISI within Network Burst - Std (sec),0.001147,0.001258,0.001062, , , ,0.000758,0.000847,0.000551, , , ,0.001193,0.000213,0.000344, , , ,0.000948,0.000360,0.003567, , , 
    Median/Mean ISI within Network Burst - Avg,0.438006,0.528453,0.470225, , , ,0.468504,0.539318,0.439769, , , ,0.468803,0.411610,0.436045, , , ,0.464244,0.461006,0.513005, , , 
    Median/Mean ISI within Network Burst - Std,0.060884,0.056545,0.059424, , , ,0.047790,0.055989,0.057584, , , ,0.074651,0.035003,0.066877, , , ,0.041849,0.063958,0.089868, , , 
    Number of Elecs Participating in Burst - Avg,14.357143,13.727273,13.576923, , , ,13.857143,12.000000,14.551724, , , ,14.076923,14.958333,13.962963, , , ,14.866667,13.695652,14.222222, , , 
    Number of Elecs Participating in Burst - Std,0.497245,0.767297,0.808608, , , ,0.864438,0.912871,0.631676, , , ,0.862316,0.204124,0.649348, , , ,0.351866,1.063219,1.625123, , , 
    Number of Spikes per Network Burst per Channel - Avg,17.457143,13.070296,13.999937, , , ,16.506777,12.697672,18.441266, , , ,22.112623,36.387500,23.668851, , , ,14.719365,23.603530,13.922093, , , 
    Number of Spikes per Network Burst per Channel - Std,1.631905,1.394836,1.532811, , , ,2.013208,1.168483,2.108648, , , ,2.049233,2.003061,3.162278, , , ,1.617192,2.146906,1.480386, , , 
    Network Burst Percentage,66.799772,63.323690,79.709443, , , ,77.258416,76.744186,85.706420, , , ,64.184061,89.147498,93.702029, , , ,68.474859,76.403799,82.442631, , , 
    Network IBI Coefficient of Variation,0.079933,0.102451,0.085759, , , ,0.091006,0.102403,0.055760, , , ,0.113361,0.122561,0.104287, , , ,0.062912,0.082209,0.206775, , , 
    Network Normalized Duration IQR,0.134352,0.218519,0.209687, , , ,0.290553,0.196874,0.243210, , , ,0.194832,0.084744,0.165105, , , ,0.176337,0.196625,0.260430, , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.083033,0.062046,0.099431,0.000000,0.000000,0.000000,0.071814,0.057656,0.131651,0.000000,0.000000,0.000000,0.079276,0.187574,0.165607,0.000000,0.000000,0.000000,0.096352,0.096534,0.086705,0.000000,0.000000,0.110352
    Area Under Cross-Correlation,0.250865,0.188375,0.335196,0.000000,0.000000,0.000000,0.203141,0.164090,0.828198,0.000000,0.000000,0.000000,0.284631,2.163883,1.214240,0.000000,0.000000,0.000000,0.247630,0.700640,0.327728,0.000000,0.000000,0.000451
    Full Width at Half Height of Normalized Cross-Correlation,84.000000,136.000000,100.000000, , , ,95.000000,80.000000,77.000000, , , ,97.000000,77.000000,79.000000, , , ,79.000000,84.000000,77.000000, , ,1.000000
    Full Width at Half Height of Cross-Correlation,588.000000,825.000000,443.000000, , , ,568.000000,530.000000,346.000000, , , ,970.000000,545.000000,406.000000, , , ,527.000000,555.000000,526.000000, , ,1.000000
    Synchrony Index, , , , , , , , , , , , , , , , , , , , , , , , 
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode,42.000000,13.000000,32.000000, , , ,32.000000,43.000000,12.000000, , , ,12.000000,42.000000,43.000000, , , ,23.000000,31.000000,14.000000, , , 
    Percent Bursts with Start Electrode,42.857143,22.727273,30.769231, , , ,35.714286,24.000000,37.931034, , , ,15.384615,20.833333,22.222222, , , ,20.000000,43.478261,40.740741, , , 
    Burst Peak (Max Spikes per sec),714.285714,363.636364,538.461538, , , ,714.285714,400.000000,620.689655, , , ,538.461538,875.000000,814.814815, , , ,666.666667,739.130435,481.481481, , , 
    Time to Burst Peak (ms),446.500000,170.500000,330.500000, , , ,374.500000,174.500000,392.500000, , , ,368.500000,307.500000,299.500000, , , ,157.500000,407.500000,249.500000, , , 
Viability Metrics
    Resistance - Avg (kOhms),26.309794,27.010489,27.574479, , , ,25.952248,26.053249,29.180698, , , ,27.304723,30.018207,28.766892, , , ,26.691411,27.371509,27.832803, , , 
    Resistance - Std (kOhms),4.037152,3.341331,4.337826, , , ,3.698045,5.354246,3.856473, , , ,3.913000,3.567311,4.302620, , , ,2.583325,4.887229,3.714972, , , 
    Number of Covered Electrodes,15.000000,15.000000,15.000000, , , ,15.000000,14.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , ,15.000000,15.000000,15.000000, , , 
    Weighted Mean Resistance (kOhms),26.309794,27.010489,27.574479, , , ,25.952248,26.768410,29.180698, , , ,27.304723,30.018207,28.766892, , , ,26.691411,27.371509,27.832803, , , 

